"trainer/global_step","causal_mid - train_loss","causal_mid - train_loss__MIN","causal_mid - train_loss__MAX","causal_mid - _step","causal_mid - _step__MIN","causal_mid - _step__MAX"
"99","0.2530960440635681","0.2530960440635681","0.2530960440635681","0","0","0"
"199","0.2338404506444931","0.2338404506444931","0.2338404506444931","1","1","1"
"299","0.22409752011299133","0.22409752011299133","0.22409752011299133","2","2","2"
"399","0.2181185632944107","0.2181185632944107","0.2181185632944107","3","3","3"
"499","0.21229933202266693","0.21229933202266693","0.21229933202266693","4","4","4"
"599","0.20800887048244476","0.20800887048244476","0.20800887048244476","5","5","5"
"699","0.20062033832073212","0.20062033832073212","0.20062033832073212","6","6","6"
"799","0.19946327805519104","0.19946327805519104","0.19946327805519104","7","7","7"
"899","0.2045380175113678","0.2045380175113678","0.2045380175113678","8","8","8"
"999","0.1941905915737152","0.1941905915737152","0.1941905915737152","9","9","9"
"1099","0.1940784752368927","0.1940784752368927","0.1940784752368927","10","10","10"
"1199","0.19156953692436218","0.19156953692436218","0.19156953692436218","11","11","11"
"1299","0.1933632642030716","0.1933632642030716","0.1933632642030716","12","12","12"
"1399","0.1864907145500183","0.1864907145500183","0.1864907145500183","13","13","13"
"1499","0.19098392128944397","0.19098392128944397","0.19098392128944397","14","14","14"
"1599","0.1887742429971695","0.1887742429971695","0.1887742429971695","15","15","15"
"1699","0.18189367651939392","0.18189367651939392","0.18189367651939392","16","16","16"
"1799","0.18493129312992096","0.18493129312992096","0.18493129312992096","17","17","17"
"1899","0.18296648561954498","0.18296648561954498","0.18296648561954498","18","18","18"
"1999","0.18187382817268372","0.18187382817268372","0.18187382817268372","19","19","19"
"2099","0.17809776961803436","0.17809776961803436","0.17809776961803436","20","20","20"
"2199","0.18269741535186768","0.18269741535186768","0.18269741535186768","21","21","21"
"2299","0.1726190149784088","0.1726190149784088","0.1726190149784088","22","22","22"
"2399","0.17777284979820251","0.17777284979820251","0.17777284979820251","23","23","23"
"2499","0.17827989161014557","0.17827989161014557","0.17827989161014557","24","24","24"
"2599","0.17202898859977722","0.17202898859977722","0.17202898859977722","25","25","25"
"2699","0.17713874578475952","0.17713874578475952","0.17713874578475952","26","26","26"
"2799","0.1720273196697235","0.1720273196697235","0.1720273196697235","27","27","27"
"2899","0.16960111260414124","0.16960111260414124","0.16960111260414124","28","28","28"
"2999","0.1778855323791504","0.1778855323791504","0.1778855323791504","29","29","29"
"3099","0.17243525385856628","0.17243525385856628","0.17243525385856628","30","30","30"
"3199","0.177151620388031","0.177151620388031","0.177151620388031","31","31","31"
"3299","0.169355571269989","0.169355571269989","0.169355571269989","32","32","32"
"3399","0.17060358822345734","0.17060358822345734","0.17060358822345734","33","33","33"
"3499","0.17297890782356262","0.17297890782356262","0.17297890782356262","34","34","34"
"3599","0.16966085135936737","0.16966085135936737","0.16966085135936737","35","35","35"
"3699","0.1670907884836197","0.1670907884836197","0.1670907884836197","36","36","36"
"3799","0.17292317748069763","0.17292317748069763","0.17292317748069763","37","37","37"
"3899","0.17115910351276398","0.17115910351276398","0.17115910351276398","38","38","38"
"3999","0.16769693791866302","0.16769693791866302","0.16769693791866302","39","39","39"
"4099","0.1722153127193451","0.1722153127193451","0.1722153127193451","40","40","40"
"4199","0.17047730088233948","0.17047730088233948","0.17047730088233948","41","41","41"
"4299","0.16561515629291534","0.16561515629291534","0.16561515629291534","42","42","42"
"4399","0.1670897901058197","0.1670897901058197","0.1670897901058197","43","43","43"
"4499","0.16611641645431519","0.16611641645431519","0.16611641645431519","44","44","44"
"4599","0.16860871016979218","0.16860871016979218","0.16860871016979218","45","45","45"
"4699","0.1615973860025406","0.1615973860025406","0.1615973860025406","46","46","46"
"4799","0.15971216559410095","0.15971216559410095","0.15971216559410095","47","47","47"
"4899","0.16625607013702393","0.16625607013702393","0.16625607013702393","48","48","48"
"4999","0.16543759405612946","0.16543759405612946","0.16543759405612946","49","49","49"
"5099","0.1643061339855194","0.1643061339855194","0.1643061339855194","50","50","50"
"5199","0.16267330944538116","0.16267330944538116","0.16267330944538116","51","51","51"
"5299","0.15638183057308197","0.15638183057308197","0.15638183057308197","52","52","52"
"5399","0.16273009777069092","0.16273009777069092","0.16273009777069092","53","53","53"
"5499","0.16840489208698273","0.16840489208698273","0.16840489208698273","54","54","54"
"5599","0.15862271189689636","0.15862271189689636","0.15862271189689636","55","55","55"
"5699","0.15784664452075958","0.15784664452075958","0.15784664452075958","56","56","56"
"5799","0.16610972583293915","0.16610972583293915","0.16610972583293915","57","57","57"
"5899","0.16439524292945862","0.16439524292945862","0.16439524292945862","58","58","58"
"5999","0.1577509343624115","0.1577509343624115","0.1577509343624115","59","59","59"
"6099","0.15283764898777008","0.15283764898777008","0.15283764898777008","60","60","60"
"6199","0.1594904661178589","0.1594904661178589","0.1594904661178589","61","61","61"
"6299","0.16279396414756775","0.16279396414756775","0.16279396414756775","62","62","62"
