"trainer/global_step","causalsinh_mid - train_loss","causalsinh_mid - train_loss__MIN","causalsinh_mid - train_loss__MAX","causalsinh_mid - _step","causalsinh_mid - _step__MIN","causalsinh_mid - _step__MAX"
"99","0.2573349177837372","0.2573349177837372","0.2573349177837372","0","0","0"
"199","0.23666231334209442","0.23666231334209442","0.23666231334209442","1","1","1"
"299","0.22645676136016846","0.22645676136016846","0.22645676136016846","2","2","2"
"399","0.22101831436157227","0.22101831436157227","0.22101831436157227","3","3","3"
"499","0.214852437376976","0.214852437376976","0.214852437376976","4","4","4"
"599","0.2101888358592987","0.2101888358592987","0.2101888358592987","5","5","5"
"699","0.20344844460487366","0.20344844460487366","0.20344844460487366","6","6","6"
"799","0.20231053233146667","0.20231053233146667","0.20231053233146667","7","7","7"
"899","0.20818045735359192","0.20818045735359192","0.20818045735359192","8","8","8"
"999","0.1972857266664505","0.1972857266664505","0.1972857266664505","9","9","9"
"1099","0.19821687042713165","0.19821687042713165","0.19821687042713165","10","10","10"
"1199","0.19486841559410095","0.19486841559410095","0.19486841559410095","11","11","11"
"1299","0.19599848985671997","0.19599848985671997","0.19599848985671997","12","12","12"
"1399","0.18992528319358826","0.18992528319358826","0.18992528319358826","13","13","13"
"1499","0.19430242478847504","0.19430242478847504","0.19430242478847504","14","14","14"
"1599","0.19173790514469147","0.19173790514469147","0.19173790514469147","15","15","15"
"1699","0.18563325703144073","0.18563325703144073","0.18563325703144073","16","16","16"
"1799","0.18793468177318573","0.18793468177318573","0.18793468177318573","17","17","17"
"1899","0.18559886515140533","0.18559886515140533","0.18559886515140533","18","18","18"
"1999","0.18481245636940002","0.18481245636940002","0.18481245636940002","19","19","19"
"2099","0.18148072063922882","0.18148072063922882","0.18148072063922882","20","20","20"
"2199","0.18547193706035614","0.18547193706035614","0.18547193706035614","21","21","21"
"2299","0.17544719576835632","0.17544719576835632","0.17544719576835632","22","22","22"
"2399","0.18118299543857574","0.18118299543857574","0.18118299543857574","23","23","23"
"2499","0.1804053783416748","0.1804053783416748","0.1804053783416748","24","24","24"
"2599","0.17446938157081604","0.17446938157081604","0.17446938157081604","25","25","25"
"2699","0.18003109097480774","0.18003109097480774","0.18003109097480774","26","26","26"
"2799","0.17476077377796173","0.17476077377796173","0.17476077377796173","27","27","27"
"2899","0.17189320921897888","0.17189320921897888","0.17189320921897888","28","28","28"
