"trainer/global_step","prefix4_mid - train_loss","prefix4_mid - train_loss__MIN","prefix4_mid - train_loss__MAX","prefix4_mid - _step","prefix4_mid - _step__MIN","prefix4_mid - _step__MAX"
"99","0.2903582751750946","0.2903582751750946","0.2903582751750946","0","0","0"
"199","0.2555064260959625","0.2555064260959625","0.2555064260959625","1","1","1"
"299","0.22962377965450287","0.22962377965450287","0.22962377965450287","2","2","2"
"399","0.22038473188877106","0.22038473188877106","0.22038473188877106","3","3","3"
"499","0.2122737467288971","0.2122737467288971","0.2122737467288971","4","4","4"
"599","0.20835520327091217","0.20835520327091217","0.20835520327091217","5","5","5"
"699","0.20039337873458862","0.20039337873458862","0.20039337873458862","6","6","6"
"799","0.19995251297950745","0.19995251297950745","0.19995251297950745","7","7","7"
"899","0.20131681859493256","0.20131681859493256","0.20131681859493256","8","8","8"
"999","0.18747921288013458","0.18747921288013458","0.18747921288013458","9","9","9"
"1099","0.190421462059021","0.190421462059021","0.190421462059021","10","10","10"
"1199","0.18638935685157776","0.18638935685157776","0.18638935685157776","11","11","11"
"1299","0.1887119710445404","0.1887119710445404","0.1887119710445404","12","12","12"
"1399","0.17955893278121948","0.17955893278121948","0.17955893278121948","13","13","13"
"1499","0.1865452527999878","0.1865452527999878","0.1865452527999878","14","14","14"
"1599","0.18099050223827362","0.18099050223827362","0.18099050223827362","15","15","15"
"1699","0.17193110287189484","0.17193110287189484","0.17193110287189484","16","16","16"
"1799","0.17730844020843506","0.17730844020843506","0.17730844020843506","17","17","17"
"1899","0.1758483201265335","0.1758483201265335","0.1758483201265335","18","18","18"
"1999","0.17890512943267822","0.17890512943267822","0.17890512943267822","19","19","19"
"2099","0.1723669171333313","0.1723669171333313","0.1723669171333313","20","20","20"
"2199","0.17655831575393677","0.17655831575393677","0.17655831575393677","21","21","21"
"2299","0.1652381718158722","0.1652381718158722","0.1652381718158722","22","22","22"
"2399","0.17196862399578094","0.17196862399578094","0.17196862399578094","23","23","23"
"2499","0.1702527403831482","0.1702527403831482","0.1702527403831482","24","24","24"
"2599","0.16836966574192047","0.16836966574192047","0.16836966574192047","25","25","25"
"2699","0.16706377267837524","0.16706377267837524","0.16706377267837524","26","26","26"
"2799","0.16741737723350525","0.16741737723350525","0.16741737723350525","27","27","27"
"2899","0.1611987054347992","0.1611987054347992","0.1611987054347992","28","28","28"
"2999","0.169708251953125","0.169708251953125","0.169708251953125","29","29","29"
"3099","0.1649266928434372","0.1649266928434372","0.1649266928434372","30","30","30"
"3199","0.16761089861392975","0.16761089861392975","0.16761089861392975","31","31","31"
"3299","0.1608109176158905","0.1608109176158905","0.1608109176158905","32","32","32"
"3399","0.16207875311374664","0.16207875311374664","0.16207875311374664","33","33","33"
"3499","0.1627851277589798","0.1627851277589798","0.1627851277589798","34","34","34"
"3599","0.16040043532848358","0.16040043532848358","0.16040043532848358","35","35","35"
"3699","0.158956378698349","0.158956378698349","0.158956378698349","36","36","36"
"3799","0.1660688817501068","0.1660688817501068","0.1660688817501068","37","37","37"
"3899","0.1627403199672699","0.1627403199672699","0.1627403199672699","38","38","38"
"3999","0.15662100911140442","0.15662100911140442","0.15662100911140442","39","39","39"
"4099","0.16371844708919525","0.16371844708919525","0.16371844708919525","40","40","40"
"4199","0.16375908255577087","0.16375908255577087","0.16375908255577087","41","41","41"
"4299","0.15677617490291595","0.15677617490291595","0.15677617490291595","42","42","42"
"4399","0.15986984968185425","0.15986984968185425","0.15986984968185425","43","43","43"
"4499","0.15845206379890442","0.15845206379890442","0.15845206379890442","44","44","44"
"4599","0.16283810138702393","0.16283810138702393","0.16283810138702393","45","45","45"
"4699","0.15026232600212097","0.15026232600212097","0.15026232600212097","46","46","46"
"4799","0.15100733935832977","0.15100733935832977","0.15100733935832977","47","47","47"
"4899","0.15900082886219025","0.15900082886219025","0.15900082886219025","48","48","48"
