"trainer/global_step","prefix4sinh_mid - train_loss","prefix4sinh_mid - train_loss__MIN","prefix4sinh_mid - train_loss__MAX","prefix4sinh_mid - _step","prefix4sinh_mid - _step__MIN","prefix4sinh_mid - _step__MAX"
"99","0.2820828855037689","0.2820828855037689","0.2820828855037689","0","0","0"
"199","0.2419756054878235","0.2419756054878235","0.2419756054878235","1","1","1"
"299","0.22660653293132782","0.22660653293132782","0.22660653293132782","2","2","2"
"399","0.2168947458267212","0.2168947458267212","0.2168947458267212","3","3","3"
"499","0.21163548529148102","0.21163548529148102","0.21163548529148102","4","4","4"
"599","0.20619669556617737","0.20619669556617737","0.20619669556617737","5","5","5"
"699","0.20083804428577423","0.20083804428577423","0.20083804428577423","6","6","6"
"799","0.2004806101322174","0.2004806101322174","0.2004806101322174","7","7","7"
"899","0.20293574035167694","0.20293574035167694","0.20293574035167694","8","8","8"
"999","0.19191789627075195","0.19191789627075195","0.19191789627075195","9","9","9"
"1099","0.1932462900876999","0.1932462900876999","0.1932462900876999","10","10","10"
"1199","0.1898021250963211","0.1898021250963211","0.1898021250963211","11","11","11"
"1299","0.19265352189540863","0.19265352189540863","0.19265352189540863","12","12","12"
"1399","0.18413880467414856","0.18413880467414856","0.18413880467414856","13","13","13"
"1499","0.19113674759864807","0.19113674759864807","0.19113674759864807","14","14","14"
"1599","0.1857844889163971","0.1857844889163971","0.1857844889163971","15","15","15"
"1699","0.17945913970470428","0.17945913970470428","0.17945913970470428","16","16","16"
"1799","0.18183784186840057","0.18183784186840057","0.18183784186840057","17","17","17"
"1899","0.18126751482486725","0.18126751482486725","0.18126751482486725","18","18","18"
"1999","0.18366524577140808","0.18366524577140808","0.18366524577140808","19","19","19"
"2099","0.17726868391036987","0.17726868391036987","0.17726868391036987","20","20","20"
"2199","0.1821017861366272","0.1821017861366272","0.1821017861366272","21","21","21"
"2299","0.17348317801952362","0.17348317801952362","0.17348317801952362","22","22","22"
"2399","0.17619433999061584","0.17619433999061584","0.17619433999061584","23","23","23"
"2499","0.17693977057933807","0.17693977057933807","0.17693977057933807","24","24","24"
"2599","0.17314285039901733","0.17314285039901733","0.17314285039901733","25","25","25"
"2699","0.17393387854099274","0.17393387854099274","0.17393387854099274","26","26","26"
"2799","0.17239032685756683","0.17239032685756683","0.17239032685756683","27","27","27"
"2899","0.16539791226387024","0.16539791226387024","0.16539791226387024","28","28","28"
"2999","0.17395718395709991","0.17395718395709991","0.17395718395709991","29","29","29"
"3099","0.16930124163627625","0.16930124163627625","0.16930124163627625","30","30","30"
"3199","0.17305883765220642","0.17305883765220642","0.17305883765220642","31","31","31"
"3299","0.16571280360221863","0.16571280360221863","0.16571280360221863","32","32","32"
"3399","0.16753371059894562","0.16753371059894562","0.16753371059894562","33","33","33"
"3499","0.16805417835712433","0.16805417835712433","0.16805417835712433","34","34","34"
"3599","0.16643312573432922","0.16643312573432922","0.16643312573432922","35","35","35"
"3699","0.1663244068622589","0.1663244068622589","0.1663244068622589","36","36","36"
"3799","0.16817061603069305","0.16817061603069305","0.16817061603069305","37","37","37"
"3899","0.16769909858703613","0.16769909858703613","0.16769909858703613","38","38","38"
"3999","0.16371241211891174","0.16371241211891174","0.16371241211891174","39","39","39"
"4099","0.16856813430786133","0.16856813430786133","0.16856813430786133","40","40","40"
"4199","0.16628003120422363","0.16628003120422363","0.16628003120422363","41","41","41"
"4299","0.1618448942899704","0.1618448942899704","0.1618448942899704","42","42","42"
"4399","0.16361157596111298","0.16361157596111298","0.16361157596111298","43","43","43"
"4499","0.16176694631576538","0.16176694631576538","0.16176694631576538","44","44","44"
"4599","0.16696111857891083","0.16696111857891083","0.16696111857891083","45","45","45"
"4699","0.1560552418231964","0.1560552418231964","0.1560552418231964","46","46","46"
"4799","0.15577401220798492","0.15577401220798492","0.15577401220798492","47","47","47"
"4899","0.16490919888019562","0.16490919888019562","0.16490919888019562","48","48","48"
"4999","0.170002743601799","0.170002743601799","0.170002743601799","49","49","49"
"5099","0.16832125186920166","0.16832125186920166","0.16832125186920166","50","50","50"
"5199","0.1641773134469986","0.1641773134469986","0.1641773134469986","51","51","51"
"5299","0.15026575326919556","0.15026575326919556","0.15026575326919556","52","52","52"
"5399","0.1611882895231247","0.1611882895231247","0.1611882895231247","53","53","53"
"5499","0.1682543307542801","0.1682543307542801","0.1682543307542801","54","54","54"
"5599","0.15242622792720795","0.15242622792720795","0.15242622792720795","55","55","55"
"5699","0.1604240983724594","0.1604240983724594","0.1604240983724594","56","56","56"
"5799","0.16429860889911652","0.16429860889911652","0.16429860889911652","57","57","57"
"5899","0.16795022785663605","0.16795022785663605","0.16795022785663605","58","58","58"
"5999","0.1567608118057251","0.1567608118057251","0.1567608118057251","59","59","59"
"6099","0.14952346682548523","0.14952346682548523","0.14952346682548523","60","60","60"
"6199","0.1580125242471695","0.1580125242471695","0.1580125242471695","61","61","61"
"6299","0.16149015724658966","0.16149015724658966","0.16149015724658966","62","62","62"
"6399","0.1602834165096283","0.1602834165096283","0.1602834165096283","63","63","63"
"6499","0.15478235483169556","0.15478235483169556","0.15478235483169556","64","64","64"
"6599","0.23087620735168457","0.23087620735168457","0.23087620735168457","65","65","65"
"6699","0.18408581614494324","0.18408581614494324","0.18408581614494324","66","66","66"
