"trainer/global_step","vanilla_mid - train_loss","vanilla_mid - train_loss__MIN","vanilla_mid - train_loss__MAX","vanilla_mid - _step","vanilla_mid - _step__MIN","vanilla_mid - _step__MAX"
"99","0.24635235965251923","0.24635235965251923","0.24635235965251923","0","0","0"
"199","0.2184913456439972","0.2184913456439972","0.2184913456439972","1","1","1"
"299","0.21455857157707214","0.21455857157707214","0.21455857157707214","2","2","2"
"399","0.2030169814825058","0.2030169814825058","0.2030169814825058","3","3","3"
"499","0.19734957814216614","0.19734957814216614","0.19734957814216614","4","4","4"
"599","0.19310301542282104","0.19310301542282104","0.19310301542282104","5","5","5"
"699","0.18854348361492157","0.18854348361492157","0.18854348361492157","6","6","6"
"799","0.18409080803394318","0.18409080803394318","0.18409080803394318","7","7","7"
"899","0.18971844017505646","0.18971844017505646","0.18971844017505646","8","8","8"
"999","0.17695334553718567","0.17695334553718567","0.17695334553718567","9","9","9"
"1099","0.17793144285678864","0.17793144285678864","0.17793144285678864","10","10","10"
"1199","0.175959974527359","0.175959974527359","0.175959974527359","11","11","11"
"1299","0.17844662070274353","0.17844662070274353","0.17844662070274353","12","12","12"
"1399","0.16877759993076324","0.16877759993076324","0.16877759993076324","13","13","13"
"1499","0.17605561017990112","0.17605561017990112","0.17605561017990112","14","14","14"
"1599","0.1701638102531433","0.1701638102531433","0.1701638102531433","15","15","15"
"1699","0.1622214913368225","0.1622214913368225","0.1622214913368225","16","16","16"
"1799","0.16718177497386932","0.16718177497386932","0.16718177497386932","17","17","17"
"1899","0.1665993481874466","0.1665993481874466","0.1665993481874466","18","18","18"
"1999","0.16780467331409454","0.16780467331409454","0.16780467331409454","19","19","19"
"2099","0.16278910636901855","0.16278910636901855","0.16278910636901855","20","20","20"
"2199","0.1680196076631546","0.1680196076631546","0.1680196076631546","21","21","21"
"2299","0.15702691674232483","0.15702691674232483","0.15702691674232483","22","22","22"
"2399","0.16282866895198822","0.16282866895198822","0.16282866895198822","23","23","23"
"2499","0.16206352412700653","0.16206352412700653","0.16206352412700653","24","24","24"
"2599","0.1577140986919403","0.1577140986919403","0.1577140986919403","25","25","25"
"2699","0.15979331731796265","0.15979331731796265","0.15979331731796265","26","26","26"
"2799","0.15721169114112854","0.15721169114112854","0.15721169114112854","27","27","27"
"2899","0.1510346382856369","0.1510346382856369","0.1510346382856369","28","28","28"
"2999","0.16154496371746063","0.16154496371746063","0.16154496371746063","29","29","29"
"3099","0.15475283563137054","0.15475283563137054","0.15475283563137054","30","30","30"
"3199","0.1598297506570816","0.1598297506570816","0.1598297506570816","31","31","31"
"3299","0.15315669775009155","0.15315669775009155","0.15315669775009155","32","32","32"
"3399","0.15378093719482422","0.15378093719482422","0.15378093719482422","33","33","33"
"3499","0.155997633934021","0.155997633934021","0.155997633934021","34","34","34"
"3599","0.15256448090076447","0.15256448090076447","0.15256448090076447","35","35","35"
"3699","0.1516902893781662","0.1516902893781662","0.1516902893781662","36","36","36"
"3799","0.1556442528963089","0.1556442528963089","0.1556442528963089","37","37","37"
"3899","0.15303651988506317","0.15303651988506317","0.15303651988506317","38","38","38"
"3999","0.14905934035778046","0.14905934035778046","0.14905934035778046","39","39","39"
"4099","0.1551155149936676","0.1551155149936676","0.1551155149936676","40","40","40"
"4199","0.15425549447536469","0.15425549447536469","0.15425549447536469","41","41","41"
"4299","0.1480778008699417","0.1480778008699417","0.1480778008699417","42","42","42"
"4399","0.1488577276468277","0.1488577276468277","0.1488577276468277","43","43","43"
"4499","0.14852648973464966","0.14852648973464966","0.14852648973464966","44","44","44"
"4599","0.15198631584644318","0.15198631584644318","0.15198631584644318","45","45","45"
"4699","0.14320823550224304","0.14320823550224304","0.14320823550224304","46","46","46"
"4799","0.14161667227745056","0.14161667227745056","0.14161667227745056","47","47","47"
"4899","0.1509779691696167","0.1509779691696167","0.1509779691696167","48","48","48"
"4999","0.14771077036857605","0.14771077036857605","0.14771077036857605","49","49","49"
"5099","0.14629654586315155","0.14629654586315155","0.14629654586315155","50","50","50"
"5199","0.1466299295425415","0.1466299295425415","0.1466299295425415","51","51","51"
"5299","0.1380109190940857","0.1380109190940857","0.1380109190940857","52","52","52"
"5399","0.14505909383296967","0.14505909383296967","0.14505909383296967","53","53","53"
"5499","0.15459418296813965","0.15459418296813965","0.15459418296813965","54","54","54"
"5599","0.13850700855255127","0.13850700855255127","0.13850700855255127","55","55","55"
"5699","0.14338745176792145","0.14338745176792145","0.14338745176792145","56","56","56"
"5799","0.1501912772655487","0.1501912772655487","0.1501912772655487","57","57","57"
"5899","0.1472567319869995","0.1472567319869995","0.1472567319869995","58","58","58"
"5999","0.1418341100215912","0.1418341100215912","0.1418341100215912","59","59","59"
"6099","0.13701963424682617","0.13701963424682617","0.13701963424682617","60","60","60"
"6199","0.1419486403465271","0.1419486403465271","0.1419486403465271","61","61","61"
"6299","0.1486847996711731","0.1486847996711731","0.1486847996711731","62","62","62"
"6399","0.1395290344953537","0.1395290344953537","0.1395290344953537","63","63","63"
"6499","0.13784797489643097","0.13784797489643097","0.13784797489643097","64","64","64"
"6599","0.1431708186864853","0.1431708186864853","0.1431708186864853","65","65","65"
"6699","0.13700592517852783","0.13700592517852783","0.13700592517852783","66","66","66"
"6799","0.14365628361701965","0.14365628361701965","0.14365628361701965","67","67","67"
"6899","0.14707258343696594","0.14707258343696594","0.14707258343696594","68","68","68"
"6999","0.14286403357982635","0.14286403357982635","0.14286403357982635","69","69","69"
"7099","0.14117954671382904","0.14117954671382904","0.14117954671382904","70","70","70"
"7199","0.1407277137041092","0.1407277137041092","0.1407277137041092","71","71","71"
"7299","0.1464427262544632","0.1464427262544632","0.1464427262544632","72","72","72"
"7399","0.1432514637708664","0.1432514637708664","0.1432514637708664","73","73","73"
"7499","0.1427798569202423","0.1427798569202423","0.1427798569202423","74","74","74"
"7599","0.13545604050159454","0.13545604050159454","0.13545604050159454","75","75","75"
"7699","0.14306654036045074","0.14306654036045074","0.14306654036045074","76","76","76"
"7799","0.14038805663585663","0.14038805663585663","0.14038805663585663","77","77","77"
"7899","0.1390279084444046","0.1390279084444046","0.1390279084444046","78","78","78"
"7999","0.140431746840477","0.140431746840477","0.140431746840477","79","79","79"
"8099","0.1356837898492813","0.1356837898492813","0.1356837898492813","80","80","80"
"8199","0.1329076886177063","0.1329076886177063","0.1329076886177063","81","81","81"
"8299","0.13779722154140472","0.13779722154140472","0.13779722154140472","82","82","82"
"8399","0.13876332342624664","0.13876332342624664","0.13876332342624664","83","83","83"
"8499","0.13065606355667114","0.13065606355667114","0.13065606355667114","84","84","84"
"8599","0.14047569036483765","0.14047569036483765","0.14047569036483765","85","85","85"
"8699","0.1376000940799713","0.1376000940799713","0.1376000940799713","86","86","86"
"8799","0.1391327679157257","0.1391327679157257","0.1391327679157257","87","87","87"
"8899","0.13823464512825012","0.13823464512825012","0.13823464512825012","88","88","88"
"8999","0.13581880927085876","0.13581880927085876","0.13581880927085876","89","89","89"
"9099","0.13445444405078888","0.13445444405078888","0.13445444405078888","90","90","90"
"9199","0.14204277098178864","0.14204277098178864","0.14204277098178864","91","91","91"
"9299","0.13838188350200653","0.13838188350200653","0.13838188350200653","92","92","92"
"9399","0.1386440247297287","0.1386440247297287","0.1386440247297287","93","93","93"
"9499","0.13325677812099457","0.13325677812099457","0.13325677812099457","94","94","94"
"9599","0.13121604919433594","0.13121604919433594","0.13121604919433594","95","95","95"
"9699","0.1399058699607849","0.1399058699607849","0.1399058699607849","96","96","96"
"9799","0.13456667959690094","0.13456667959690094","0.13456667959690094","97","97","97"
"9899","0.12800289690494537","0.12800289690494537","0.12800289690494537","98","98","98"
"9999","0.1340305358171463","0.1340305358171463","0.1340305358171463","99","99","99"
"10099","0.13640764355659485","0.13640764355659485","0.13640764355659485","100","100","100"
"10199","0.13435831665992737","0.13435831665992737","0.13435831665992737","101","101","101"
"10299","0.1322169154882431","0.1322169154882431","0.1322169154882431","102","102","102"
"10399","0.13343578577041626","0.13343578577041626","0.13343578577041626","103","103","103"
"10499","0.1377738118171692","0.1377738118171692","0.1377738118171692","104","104","104"
"10599","0.13687187433242798","0.13687187433242798","0.13687187433242798","105","105","105"
"10699","0.13214699923992157","0.13214699923992157","0.13214699923992157","106","106","106"
"10799","0.13341005146503448","0.13341005146503448","0.13341005146503448","107","107","107"
"10899","0.13319328427314758","0.13319328427314758","0.13319328427314758","108","108","108"
"10999","0.133263498544693","0.133263498544693","0.133263498544693","109","109","109"
"11099","0.1327103078365326","0.1327103078365326","0.1327103078365326","110","110","110"
"11199","0.1350707858800888","0.1350707858800888","0.1350707858800888","111","111","111"
"11299","0.13736282289028168","0.13736282289028168","0.13736282289028168","112","112","112"
"11399","0.13559123873710632","0.13559123873710632","0.13559123873710632","113","113","113"
"11499","0.13948321342468262","0.13948321342468262","0.13948321342468262","114","114","114"
"11599","0.135192409157753","0.135192409157753","0.135192409157753","115","115","115"
"11699","0.13583800196647644","0.13583800196647644","0.13583800196647644","116","116","116"
"11799","0.13571946322917938","0.13571946322917938","0.13571946322917938","117","117","117"
"11899","0.13410146534442902","0.13410146534442902","0.13410146534442902","118","118","118"
"11999","0.12700314819812775","0.12700314819812775","0.12700314819812775","119","119","119"
