"trainer/global_step","vanillasinh_mid - train_loss","vanillasinh_mid - train_loss__MIN","vanillasinh_mid - train_loss__MAX","vanillasinh_mid - _step","vanillasinh_mid - _step__MIN","vanillasinh_mid - _step__MAX"
"99","0.25058871507644653","0.25058871507644653","0.25058871507644653","0","0","0"
"199","0.22308789193630219","0.22308789193630219","0.22308789193630219","1","1","1"
"299","0.21822212636470795","0.21822212636470795","0.21822212636470795","2","2","2"
"399","0.20701053738594055","0.20701053738594055","0.20701053738594055","3","3","3"
"499","0.20053690671920776","0.20053690671920776","0.20053690671920776","4","4","4"
"599","0.19579684734344482","0.19579684734344482","0.19579684734344482","5","5","5"
"699","0.1917564421892166","0.1917564421892166","0.1917564421892166","6","6","6"
"799","0.18740777671337128","0.18740777671337128","0.18740777671337128","7","7","7"
"899","0.19331879913806915","0.19331879913806915","0.19331879913806915","8","8","8"
"999","0.18048585951328278","0.18048585951328278","0.18048585951328278","9","9","9"
"1099","0.1814693659543991","0.1814693659543991","0.1814693659543991","10","10","10"
"1199","0.17966347932815552","0.17966347932815552","0.17966347932815552","11","11","11"
"1299","0.1818006932735443","0.1818006932735443","0.1818006932735443","12","12","12"
"1399","0.17264990508556366","0.17264990508556366","0.17264990508556366","13","13","13"
"1499","0.17932912707328796","0.17932912707328796","0.17932912707328796","14","14","14"
"1599","0.17350594699382782","0.17350594699382782","0.17350594699382782","15","15","15"
"1699","0.16567015647888184","0.16567015647888184","0.16567015647888184","16","16","16"
"1799","0.17094457149505615","0.17094457149505615","0.17094457149505615","17","17","17"
"1899","0.17022372782230377","0.17022372782230377","0.17022372782230377","18","18","18"
"1999","0.1713860034942627","0.1713860034942627","0.1713860034942627","19","19","19"
"2099","0.16663315892219543","0.16663315892219543","0.16663315892219543","20","20","20"
"2199","0.17143940925598145","0.17143940925598145","0.17143940925598145","21","21","21"
"2299","0.16044731438159943","0.16044731438159943","0.16044731438159943","22","22","22"
"2399","0.16594624519348145","0.16594624519348145","0.16594624519348145","23","23","23"
"2499","0.16541697084903717","0.16541697084903717","0.16541697084903717","24","24","24"
"2599","0.16097372770309448","0.16097372770309448","0.16097372770309448","25","25","25"
"2699","0.1632477194070816","0.1632477194070816","0.1632477194070816","26","26","26"
"2799","0.16059522330760956","0.16059522330760956","0.16059522330760956","27","27","27"
"2899","0.15424245595932007","0.15424245595932007","0.15424245595932007","28","28","28"
