"trainer/global_step","causal_small - train_loss","causal_small - train_loss__MIN","causal_small - train_loss__MAX","causal_small - _step","causal_small - _step__MIN","causal_small - _step__MAX"
"99","0.25007012486457825","0.25007012486457825","0.25007012486457825","0","0","0"
"199","0.22882986068725586","0.22882986068725586","0.22882986068725586","1","1","1"
"299","0.21590809524059296","0.21590809524059296","0.21590809524059296","2","2","2"
"399","0.20684009790420532","0.20684009790420532","0.20684009790420532","3","3","3"
"499","0.20135372877120972","0.20135372877120972","0.20135372877120972","4","4","4"
"599","0.20074759423732758","0.20074759423732758","0.20074759423732758","5","5","5"
"699","0.20037157833576202","0.20037157833576202","0.20037157833576202","6","6","6"
"799","0.19532443583011627","0.19532443583011627","0.19532443583011627","7","7","7"
"899","0.20017826557159424","0.20017826557159424","0.20017826557159424","8","8","8"
"999","0.19434642791748047","0.19434642791748047","0.19434642791748047","9","9","9"
"1099","0.18644797801971436","0.18644797801971436","0.18644797801971436","10","10","10"
"1199","0.18459005653858185","0.18459005653858185","0.18459005653858185","11","11","11"
"1299","0.17787140607833862","0.17787140607833862","0.17787140607833862","12","12","12"
"1399","0.18271777033805847","0.18271777033805847","0.18271777033805847","13","13","13"
"1499","0.1784888356924057","0.1784888356924057","0.1784888356924057","14","14","14"
"1599","0.17446903884410858","0.17446903884410858","0.17446903884410858","15","15","15"
"1699","0.18436342477798462","0.18436342477798462","0.18436342477798462","16","16","16"
"1799","0.18002848327159882","0.18002848327159882","0.18002848327159882","17","17","17"
"1899","0.17259226739406586","0.17259226739406586","0.17259226739406586","18","18","18"
"1999","0.17182394862174988","0.17182394862174988","0.17182394862174988","19","19","19"
"2099","0.1770610362291336","0.1770610362291336","0.1770610362291336","20","20","20"
"2199","0.1708764135837555","0.1708764135837555","0.1708764135837555","21","21","21"
"2299","0.17242833971977234","0.17242833971977234","0.17242833971977234","22","22","22"
"2399","0.17143705487251282","0.17143705487251282","0.17143705487251282","23","23","23"
"2499","0.1636805385351181","0.1636805385351181","0.1636805385351181","24","24","24"
"2599","0.17065420746803284","0.17065420746803284","0.17065420746803284","25","25","25"
"2699","0.16929933428764343","0.16929933428764343","0.16929933428764343","26","26","26"
"2799","0.1657426804304123","0.1657426804304123","0.1657426804304123","27","27","27"
"2899","0.17010070383548737","0.17010070383548737","0.17010070383548737","28","28","28"
"2999","0.16590015590190887","0.16590015590190887","0.16590015590190887","29","29","29"
"3099","0.1720147728919983","0.1720147728919983","0.1720147728919983","30","30","30"
"3199","0.16720208525657654","0.16720208525657654","0.16720208525657654","31","31","31"
"3299","0.16284170746803284","0.16284170746803284","0.16284170746803284","32","32","32"
"3399","0.16176697611808777","0.16176697611808777","0.16176697611808777","33","33","33"
"3499","0.16582165658473969","0.16582165658473969","0.16582165658473969","34","34","34"
"3599","0.16350321471691132","0.16350321471691132","0.16350321471691132","35","35","35"
"3699","0.1598973423242569","0.1598973423242569","0.1598973423242569","36","36","36"
"3799","0.1640120893716812","0.1640120893716812","0.1640120893716812","37","37","37"
"3899","0.16199912130832672","0.16199912130832672","0.16199912130832672","38","38","38"
"3999","0.16109928488731384","0.16109928488731384","0.16109928488731384","39","39","39"
"4099","0.15842598676681519","0.15842598676681519","0.15842598676681519","40","40","40"
"4199","0.16125458478927612","0.16125458478927612","0.16125458478927612","41","41","41"
"4299","0.16732510924339294","0.16732510924339294","0.16732510924339294","42","42","42"
"4399","0.15526819229125977","0.15526819229125977","0.15526819229125977","43","43","43"
"4499","0.16415353119373322","0.16415353119373322","0.16415353119373322","44","44","44"
"4599","0.1619884967803955","0.1619884967803955","0.1619884967803955","45","45","45"
"4699","0.16331525146961212","0.16331525146961212","0.16331525146961212","46","46","46"
"4799","0.15648584067821503","0.15648584067821503","0.15648584067821503","47","47","47"
"4899","0.16273078322410583","0.16273078322410583","0.16273078322410583","48","48","48"
"4999","0.15782058238983154","0.15782058238983154","0.15782058238983154","49","49","49"
"5099","0.15588164329528809","0.15588164329528809","0.15588164329528809","50","50","50"
"5199","0.1556442230939865","0.1556442230939865","0.1556442230939865","51","51","51"
"5299","0.15853777527809143","0.15853777527809143","0.15853777527809143","52","52","52"
"5399","0.15614575147628784","0.15614575147628784","0.15614575147628784","53","53","53"
"5499","0.1558755487203598","0.1558755487203598","0.1558755487203598","54","54","54"
"5599","0.15771444141864777","0.15771444141864777","0.15771444141864777","55","55","55"
"5699","0.15990795195102692","0.15990795195102692","0.15990795195102692","56","56","56"
"5799","0.15293188393115997","0.15293188393115997","0.15293188393115997","57","57","57"
"5899","0.15546657145023346","0.15546657145023346","0.15546657145023346","58","58","58"
"5999","0.15862837433815002","0.15862837433815002","0.15862837433815002","59","59","59"
"6099","0.15560846030712128","0.15560846030712128","0.15560846030712128","60","60","60"
