"trainer/global_step","causalsinh_small - train_loss","causalsinh_small - train_loss__MIN","causalsinh_small - train_loss__MAX","causalsinh_small - _step","causalsinh_small - _step__MIN","causalsinh_small - _step__MAX"
"99","0.2510372996330261","0.2510372996330261","0.2510372996330261","0","0","0"
"199","0.23044387996196747","0.23044387996196747","0.23044387996196747","1","1","1"
"299","0.21721826493740082","0.21721826493740082","0.21721826493740082","2","2","2"
"399","0.2083042860031128","0.2083042860031128","0.2083042860031128","3","3","3"
"499","0.20300543308258057","0.20300543308258057","0.20300543308258057","4","4","4"
"599","0.20261487364768982","0.20261487364768982","0.20261487364768982","5","5","5"
"699","0.20250250399112701","0.20250250399112701","0.20250250399112701","6","6","6"
"799","0.1975032538175583","0.1975032538175583","0.1975032538175583","7","7","7"
"899","0.20331838726997375","0.20331838726997375","0.20331838726997375","8","8","8"
"999","0.197230264544487","0.197230264544487","0.197230264544487","9","9","9"
"1099","0.1901882290840149","0.1901882290840149","0.1901882290840149","10","10","10"
"1199","0.18778234720230103","0.18778234720230103","0.18778234720230103","11","11","11"
"1299","0.18121203780174255","0.18121203780174255","0.18121203780174255","12","12","12"
"1399","0.18636180460453033","0.18636180460453033","0.18636180460453033","13","13","13"
"1499","0.18198934197425842","0.18198934197425842","0.18198934197425842","14","14","14"
"1599","0.17746660113334656","0.17746660113334656","0.17746660113334656","15","15","15"
"1699","0.1871039718389511","0.1871039718389511","0.1871039718389511","16","16","16"
"1799","0.18308274447917938","0.18308274447917938","0.18308274447917938","17","17","17"
"1899","0.17574173212051392","0.17574173212051392","0.17574173212051392","18","18","18"
"1999","0.1747797131538391","0.1747797131538391","0.1747797131538391","19","19","19"
"2099","0.17993910610675812","0.17993910610675812","0.17993910610675812","20","20","20"
"2199","0.17333419620990753","0.17333419620990753","0.17333419620990753","21","21","21"
"2299","0.17477953433990479","0.17477953433990479","0.17477953433990479","22","22","22"
"2399","0.17386455833911896","0.17386455833911896","0.17386455833911896","23","23","23"
"2499","0.16656872630119324","0.16656872630119324","0.16656872630119324","24","24","24"
"2599","0.17272792756557465","0.17272792756557465","0.17272792756557465","25","25","25"
"2699","0.1715213656425476","0.1715213656425476","0.1715213656425476","26","26","26"
"2799","0.16799306869506836","0.16799306869506836","0.16799306869506836","27","27","27"
"2899","0.1725444793701172","0.1725444793701172","0.1725444793701172","28","28","28"
"2999","0.1679837554693222","0.1679837554693222","0.1679837554693222","29","29","29"
"3099","0.17371304333209991","0.17371304333209991","0.17371304333209991","30","30","30"
"3199","0.16990718245506287","0.16990718245506287","0.16990718245506287","31","31","31"
"3299","0.1645117551088333","0.1645117551088333","0.1645117551088333","32","32","32"
"3399","0.16388697922229767","0.16388697922229767","0.16388697922229767","33","33","33"
"3499","0.16759803891181946","0.16759803891181946","0.16759803891181946","34","34","34"
"3599","0.1647096574306488","0.1647096574306488","0.1647096574306488","35","35","35"
"3699","0.1612110435962677","0.1612110435962677","0.1612110435962677","36","36","36"
"3799","0.16501012444496155","0.16501012444496155","0.16501012444496155","37","37","37"
