"trainer/global_step","prefix8_small - train_loss","prefix8_small - train_loss__MIN","prefix8_small - train_loss__MAX","prefix8_small - _step","prefix8_small - _step__MIN","prefix8_small - _step__MAX"
"99","0.3036455810070038","0.3036455810070038","0.3036455810070038","0","0","0"
"199","0.25441011786460876","0.25441011786460876","0.25441011786460876","1","1","1"
"299","0.2271748185157776","0.2271748185157776","0.2271748185157776","2","2","2"
"399","0.20821203291416168","0.20821203291416168","0.20821203291416168","3","3","3"
"499","0.19709084928035736","0.19709084928035736","0.19709084928035736","4","4","4"
"599","0.19564123451709747","0.19564123451709747","0.19564123451709747","5","5","5"
"699","0.19131891429424286","0.19131891429424286","0.19131891429424286","6","6","6"
"799","0.18300651013851166","0.18300651013851166","0.18300651013851166","7","7","7"
"899","0.19053296744823456","0.19053296744823456","0.19053296744823456","8","8","8"
"999","0.18332624435424805","0.18332624435424805","0.18332624435424805","9","9","9"
"1099","0.17696323990821838","0.17696323990821838","0.17696323990821838","10","10","10"
"1199","0.1717282086610794","0.1717282086610794","0.1717282086610794","11","11","11"
"1299","0.1669810563325882","0.1669810563325882","0.1669810563325882","12","12","12"
"1399","0.17255480587482452","0.17255480587482452","0.17255480587482452","13","13","13"
"1499","0.16648030281066895","0.16648030281066895","0.16648030281066895","14","14","14"
"1599","0.16045205295085907","0.16045205295085907","0.16045205295085907","15","15","15"
"1699","0.1729375272989273","0.1729375272989273","0.1729375272989273","16","16","16"
"1799","0.1658433973789215","0.1658433973789215","0.1658433973789215","17","17","17"
"1899","0.1578584909439087","0.1578584909439087","0.1578584909439087","18","18","18"
"1999","0.15738043189048767","0.15738043189048767","0.15738043189048767","19","19","19"
"2099","0.1634887307882309","0.1634887307882309","0.1634887307882309","20","20","20"
"2199","0.15697161853313446","0.15697161853313446","0.15697161853313446","21","21","21"
"2299","0.15670640766620636","0.15670640766620636","0.15670640766620636","22","22","22"
"2399","0.15491417050361633","0.15491417050361633","0.15491417050361633","23","23","23"
"2499","0.14821498095989227","0.14821498095989227","0.14821498095989227","24","24","24"
"2599","0.15292881429195404","0.15292881429195404","0.15292881429195404","25","25","25"
"2699","0.14991028606891632","0.14991028606891632","0.14991028606891632","26","26","26"
"2799","0.1519411951303482","0.1519411951303482","0.1519411951303482","27","27","27"
"2899","0.15339431166648865","0.15339431166648865","0.15339431166648865","28","28","28"
"2999","0.15039081871509552","0.15039081871509552","0.15039081871509552","29","29","29"
"3099","0.156520277261734","0.156520277261734","0.156520277261734","30","30","30"
"3199","0.14978666603565216","0.14978666603565216","0.14978666603565216","31","31","31"
"3299","0.14523352682590485","0.14523352682590485","0.14523352682590485","32","32","32"
"3399","0.1446642428636551","0.1446642428636551","0.1446642428636551","33","33","33"
"3499","0.1607120782136917","0.1607120782136917","0.1607120782136917","34","34","34"
"3599","0.14957453310489655","0.14957453310489655","0.14957453310489655","35","35","35"
"3699","0.14513082802295685","0.14513082802295685","0.14513082802295685","36","36","36"
"3799","0.1479293256998062","0.1479293256998062","0.1479293256998062","37","37","37"
"3899","0.15051403641700745","0.15051403641700745","0.15051403641700745","38","38","38"
"3999","0.14392299950122833","0.14392299950122833","0.14392299950122833","39","39","39"
"4099","0.14285272359848022","0.14285272359848022","0.14285272359848022","40","40","40"
"4199","0.1459033042192459","0.1459033042192459","0.1459033042192459","41","41","41"
"4299","0.1533060222864151","0.1533060222864151","0.1533060222864151","42","42","42"
"4399","0.1383521556854248","0.1383521556854248","0.1383521556854248","43","43","43"
"4499","0.14964748919010162","0.14964748919010162","0.14964748919010162","44","44","44"
"4599","0.14482279121875763","0.14482279121875763","0.14482279121875763","45","45","45"
"4699","0.1456124484539032","0.1456124484539032","0.1456124484539032","46","46","46"
"4799","0.14217041432857513","0.14217041432857513","0.14217041432857513","47","47","47"
"4899","0.14619340002536774","0.14619340002536774","0.14619340002536774","48","48","48"
"4999","0.13934753835201263","0.13934753835201263","0.13934753835201263","49","49","49"
"5099","0.1389797329902649","0.1389797329902649","0.1389797329902649","50","50","50"
"5199","0.13816997408866882","0.13816997408866882","0.13816997408866882","51","51","51"
"5299","0.1443886011838913","0.1443886011838913","0.1443886011838913","52","52","52"
"5399","0.1401110142469406","0.1401110142469406","0.1401110142469406","53","53","53"
"5499","0.13970986008644104","0.13970986008644104","0.13970986008644104","54","54","54"
"5599","0.14133435487747192","0.14133435487747192","0.14133435487747192","55","55","55"
"5699","0.14396513998508453","0.14396513998508453","0.14396513998508453","56","56","56"
"5799","0.1387196034193039","0.1387196034193039","0.1387196034193039","57","57","57"
"5899","0.14233577251434326","0.14233577251434326","0.14233577251434326","58","58","58"
"5999","0.13924311101436615","0.13924311101436615","0.13924311101436615","59","59","59"
"6099","0.1372615098953247","0.1372615098953247","0.1372615098953247","60","60","60"
"6199","0.1403590440750122","0.1403590440750122","0.1403590440750122","61","61","61"
"6299","0.1411108374595642","0.1411108374595642","0.1411108374595642","62","62","62"
"6399","0.13850456476211548","0.13850456476211548","0.13850456476211548","63","63","63"
"6499","0.13557693362236023","0.13557693362236023","0.13557693362236023","64","64","64"
"6599","0.13877496123313904","0.13877496123313904","0.13877496123313904","65","65","65"
"6699","0.13548846542835236","0.13548846542835236","0.13548846542835236","66","66","66"
"6799","0.13524913787841797","0.13524913787841797","0.13524913787841797","67","67","67"
"6899","0.13891497254371643","0.13891497254371643","0.13891497254371643","68","68","68"
"6999","0.13782352209091187","0.13782352209091187","0.13782352209091187","69","69","69"
"7099","0.13841739296913147","0.13841739296913147","0.13841739296913147","70","70","70"
"7199","0.13919752836227417","0.13919752836227417","0.13919752836227417","71","71","71"
"7299","0.13618098199367523","0.13618098199367523","0.13618098199367523","72","72","72"
"7399","0.13935703039169312","0.13935703039169312","0.13935703039169312","73","73","73"
"7499","0.13888856768608093","0.13888856768608093","0.13888856768608093","74","74","74"
"7599","0.1365198791027069","0.1365198791027069","0.1365198791027069","75","75","75"
"7699","0.14016225934028625","0.14016225934028625","0.14016225934028625","76","76","76"
"7799","0.13642199337482452","0.13642199337482452","0.13642199337482452","77","77","77"
"7899","0.13688954710960388","0.13688954710960388","0.13688954710960388","78","78","78"
"7999","0.13494092226028442","0.13494092226028442","0.13494092226028442","79","79","79"
"8099","0.13958674669265747","0.13958674669265747","0.13958674669265747","80","80","80"
"8199","0.13147620856761932","0.13147620856761932","0.13147620856761932","81","81","81"
"8299","0.13861846923828125","0.13861846923828125","0.13861846923828125","82","82","82"
"8399","0.1336612105369568","0.1336612105369568","0.1336612105369568","83","83","83"
"8499","0.13816586136817932","0.13816586136817932","0.13816586136817932","84","84","84"
"8599","0.13536499440670013","0.13536499440670013","0.13536499440670013","85","85","85"
"8699","0.13780109584331512","0.13780109584331512","0.13780109584331512","86","86","86"
"8799","0.13384391367435455","0.13384391367435455","0.13384391367435455","87","87","87"
