"trainer/global_step","prefix8sinh_small - train_loss","prefix8sinh_small - train_loss__MIN","prefix8sinh_small - train_loss__MAX","prefix8sinh_small - _step","prefix8sinh_small - _step__MIN","prefix8sinh_small - _step__MAX"
"99","0.28698641061782837","0.28698641061782837","0.28698641061782837","0","0","0"
"199","0.23383092880249023","0.23383092880249023","0.23383092880249023","1","1","1"
"299","0.2123735100030899","0.2123735100030899","0.2123735100030899","2","2","2"
"399","0.19785255193710327","0.19785255193710327","0.19785255193710327","3","3","3"
"499","0.19203728437423706","0.19203728437423706","0.19203728437423706","4","4","4"
"599","0.18995918333530426","0.18995918333530426","0.18995918333530426","5","5","5"
"699","0.18917672336101532","0.18917672336101532","0.18917672336101532","6","6","6"
"799","0.18263362348079681","0.18263362348079681","0.18263362348079681","7","7","7"
"899","0.1891721487045288","0.1891721487045288","0.1891721487045288","8","8","8"
"999","0.18365494906902313","0.18365494906902313","0.18365494906902313","9","9","9"
"1099","0.17673183977603912","0.17673183977603912","0.17673183977603912","10","10","10"
"1199","0.17474529147148132","0.17474529147148132","0.17474529147148132","11","11","11"
"1299","0.1690080165863037","0.1690080165863037","0.1690080165863037","12","12","12"
"1399","0.17265520989894867","0.17265520989894867","0.17265520989894867","13","13","13"
"1499","0.16925981640815735","0.16925981640815735","0.16925981640815735","14","14","14"
"1599","0.16337044537067413","0.16337044537067413","0.16337044537067413","15","15","15"
"1699","0.17527556419372559","0.17527556419372559","0.17527556419372559","16","16","16"
"1799","0.16851934790611267","0.16851934790611267","0.16851934790611267","17","17","17"
"1899","0.16206508874893188","0.16206508874893188","0.16206508874893188","18","18","18"
"1999","0.16087459027767181","0.16087459027767181","0.16087459027767181","19","19","19"
"2099","0.16567198932170868","0.16567198932170868","0.16567198932170868","20","20","20"
"2199","0.16046316921710968","0.16046316921710968","0.16046316921710968","21","21","21"
"2299","0.162709578871727","0.162709578871727","0.162709578871727","22","22","22"
"2399","0.16180843114852905","0.16180843114852905","0.16180843114852905","23","23","23"
"2499","0.1529068648815155","0.1529068648815155","0.1529068648815155","24","24","24"
"2599","0.1608748435974121","0.1608748435974121","0.1608748435974121","25","25","25"
"2699","0.15666048228740692","0.15666048228740692","0.15666048228740692","26","26","26"
"2799","0.15619778633117676","0.15619778633117676","0.15619778633117676","27","27","27"
"2899","0.1612754762172699","0.1612754762172699","0.1612754762172699","28","28","28"
"2999","0.15535062551498413","0.15535062551498413","0.15535062551498413","29","29","29"
"3099","0.1609799861907959","0.1609799861907959","0.1609799861907959","30","30","30"
"3199","0.15525485575199127","0.15525485575199127","0.15525485575199127","31","31","31"
"3299","0.15252698957920074","0.15252698957920074","0.15252698957920074","32","32","32"
"3399","0.15322212874889374","0.15322212874889374","0.15322212874889374","33","33","33"
"3499","0.16003435850143433","0.16003435850143433","0.16003435850143433","34","34","34"
"3599","0.1555708795785904","0.1555708795785904","0.1555708795785904","35","35","35"
"3699","0.15015912055969238","0.15015912055969238","0.15015912055969238","36","36","36"
"3799","0.14989499747753143","0.14989499747753143","0.14989499747753143","37","37","37"
"3899","0.15043745934963226","0.15043745934963226","0.15043745934963226","38","38","38"
"3999","0.14853869378566742","0.14853869378566742","0.14853869378566742","39","39","39"
"4099","0.1489216685295105","0.1489216685295105","0.1489216685295105","40","40","40"
"4199","0.15413622558116913","0.15413622558116913","0.15413622558116913","41","41","41"
"4299","0.15813452005386353","0.15813452005386353","0.15813452005386353","42","42","42"
"4399","0.14466756582260132","0.14466756582260132","0.14466756582260132","43","43","43"
"4499","0.15375369787216187","0.15375369787216187","0.15375369787216187","44","44","44"
"4599","0.1499590277671814","0.1499590277671814","0.1499590277671814","45","45","45"
"4699","0.15075227618217468","0.15075227618217468","0.15075227618217468","46","46","46"
"4799","0.15100271999835968","0.15100271999835968","0.15100271999835968","47","47","47"
"4899","0.15017378330230713","0.15017378330230713","0.15017378330230713","48","48","48"
"4999","0.14849701523780823","0.14849701523780823","0.14849701523780823","49","49","49"
"5099","0.1446620672941208","0.1446620672941208","0.1446620672941208","50","50","50"
"5199","0.14320524036884308","0.14320524036884308","0.14320524036884308","51","51","51"
"5299","0.15066181123256683","0.15066181123256683","0.15066181123256683","52","52","52"
"5399","0.14444947242736816","0.14444947242736816","0.14444947242736816","53","53","53"
"5499","0.1440550684928894","0.1440550684928894","0.1440550684928894","54","54","54"
"5599","0.14713788032531738","0.14713788032531738","0.14713788032531738","55","55","55"
"5699","0.14433126151561737","0.14433126151561737","0.14433126151561737","56","56","56"
"5799","0.1423141062259674","0.1423141062259674","0.1423141062259674","57","57","57"
"5899","0.14584003388881683","0.14584003388881683","0.14584003388881683","58","58","58"
"5999","0.14236028492450714","0.14236028492450714","0.14236028492450714","59","59","59"
"6099","0.14168867468833923","0.14168867468833923","0.14168867468833923","60","60","60"
"6199","0.14698629081249237","0.14698629081249237","0.14698629081249237","61","61","61"
"6299","0.14302566647529602","0.14302566647529602","0.14302566647529602","62","62","62"
"6399","0.14378811419010162","0.14378811419010162","0.14378811419010162","63","63","63"
"6499","0.14040103554725647","0.14040103554725647","0.14040103554725647","64","64","64"
"6599","0.14303447306156158","0.14303447306156158","0.14303447306156158","65","65","65"
"6699","0.14498460292816162","0.14498460292816162","0.14498460292816162","66","66","66"
"6799","0.14508548378944397","0.14508548378944397","0.14508548378944397","67","67","67"
"6899","0.14341740310192108","0.14341740310192108","0.14341740310192108","68","68","68"
"6999","0.14341604709625244","0.14341604709625244","0.14341604709625244","69","69","69"
"7099","0.14286763966083527","0.14286763966083527","0.14286763966083527","70","70","70"
"7199","0.14758716523647308","0.14758716523647308","0.14758716523647308","71","71","71"
"7299","0.1405731439590454","0.1405731439590454","0.1405731439590454","72","72","72"
"7399","0.14362023770809174","0.14362023770809174","0.14362023770809174","73","73","73"
"7499","0.14647941291332245","0.14647941291332245","0.14647941291332245","74","74","74"
"7599","0.1400667428970337","0.1400667428970337","0.1400667428970337","75","75","75"
"7699","0.1458449363708496","0.1458449363708496","0.1458449363708496","76","76","76"
"7799","0.1426514983177185","0.1426514983177185","0.1426514983177185","77","77","77"
"7899","0.1451592892408371","0.1451592892408371","0.1451592892408371","78","78","78"
"7999","0.13562728464603424","0.13562728464603424","0.13562728464603424","79","79","79"
"8099","0.1439180076122284","0.1439180076122284","0.1439180076122284","80","80","80"
