"trainer/global_step","vanilla_small - train_loss","vanilla_small - train_loss__MIN","vanilla_small - train_loss__MAX","vanilla_small - _step","vanilla_small - _step__MIN","vanilla_small - _step__MAX"
"99","0.24111437797546387","0.24111437797546387","0.24111437797546387","0","0","0"
"199","0.2125830054283142","0.2125830054283142","0.2125830054283142","1","1","1"
"299","0.19723686575889587","0.19723686575889587","0.19723686575889587","2","2","2"
"399","0.18889744579792023","0.18889744579792023","0.18889744579792023","3","3","3"
"499","0.18439696729183197","0.18439696729183197","0.18439696729183197","4","4","4"
"599","0.18061012029647827","0.18061012029647827","0.18061012029647827","5","5","5"
"699","0.17745831608772278","0.17745831608772278","0.17745831608772278","6","6","6"
"799","0.1742377132177353","0.1742377132177353","0.1742377132177353","7","7","7"
"899","0.18120762705802917","0.18120762705802917","0.18120762705802917","8","8","8"
"999","0.17516058683395386","0.17516058683395386","0.17516058683395386","9","9","9"
"1099","0.16554096341133118","0.16554096341133118","0.16554096341133118","10","10","10"
"1199","0.16553503274917603","0.16553503274917603","0.16553503274917603","11","11","11"
"1299","0.15936684608459473","0.15936684608459473","0.15936684608459473","12","12","12"
"1399","0.16215528547763824","0.16215528547763824","0.16215528547763824","13","13","13"
"1499","0.1586574912071228","0.1586574912071228","0.1586574912071228","14","14","14"
"1599","0.15409773588180542","0.15409773588180542","0.15409773588180542","15","15","15"
"1699","0.1655949205160141","0.1655949205160141","0.1655949205160141","16","16","16"
"1799","0.15997816622257233","0.15997816622257233","0.15997816622257233","17","17","17"
"1899","0.15286846458911896","0.15286846458911896","0.15286846458911896","18","18","18"
"1999","0.15127111971378326","0.15127111971378326","0.15127111971378326","19","19","19"
"2099","0.1553199589252472","0.1553199589252472","0.1553199589252472","20","20","20"
"2199","0.1507396697998047","0.1507396697998047","0.1507396697998047","21","21","21"
"2299","0.14999082684516907","0.14999082684516907","0.14999082684516907","22","22","22"
"2399","0.1495303362607956","0.1495303362607956","0.1495303362607956","23","23","23"
"2499","0.14334271848201752","0.14334271848201752","0.14334271848201752","24","24","24"
"2599","0.14849995076656342","0.14849995076656342","0.14849995076656342","25","25","25"
"2699","0.14575286209583282","0.14575286209583282","0.14575286209583282","26","26","26"
"2799","0.14499054849147797","0.14499054849147797","0.14499054849147797","27","27","27"
"2899","0.1473868191242218","0.1473868191242218","0.1473868191242218","28","28","28"
"2999","0.1446969360113144","0.1446969360113144","0.1446969360113144","29","29","29"
"3099","0.1492418348789215","0.1492418348789215","0.1492418348789215","30","30","30"
"3199","0.144124835729599","0.144124835729599","0.144124835729599","31","31","31"
"3299","0.14129461348056793","0.14129461348056793","0.14129461348056793","32","32","32"
"3399","0.13965970277786255","0.13965970277786255","0.13965970277786255","33","33","33"
"3499","0.14480498433113098","0.14480498433113098","0.14480498433113098","34","34","34"
"3599","0.14353501796722412","0.14353501796722412","0.14353501796722412","35","35","35"
"3699","0.13955716788768768","0.13955716788768768","0.13955716788768768","36","36","36"
"3799","0.14222611486911774","0.14222611486911774","0.14222611486911774","37","37","37"
"3899","0.1405494511127472","0.1405494511127472","0.1405494511127472","38","38","38"
"3999","0.13861426711082458","0.13861426711082458","0.13861426711082458","39","39","39"
"4099","0.13870500028133392","0.13870500028133392","0.13870500028133392","40","40","40"
"4199","0.14152316749095917","0.14152316749095917","0.14152316749095917","41","41","41"
"4299","0.14865748584270477","0.14865748584270477","0.14865748584270477","42","42","42"
"4399","0.1355537623167038","0.1355537623167038","0.1355537623167038","43","43","43"
"4499","0.14341336488723755","0.14341336488723755","0.14341336488723755","44","44","44"
"4599","0.140784353017807","0.140784353017807","0.140784353017807","45","45","45"
"4699","0.14275838434696198","0.14275838434696198","0.14275838434696198","46","46","46"
"4799","0.13605518639087677","0.13605518639087677","0.13605518639087677","47","47","47"
"4899","0.14274364709854126","0.14274364709854126","0.14274364709854126","48","48","48"
"4999","0.13618004322052002","0.13618004322052002","0.13618004322052002","49","49","49"
"5099","0.1353272646665573","0.1353272646665573","0.1353272646665573","50","50","50"
"5199","0.13557195663452148","0.13557195663452148","0.13557195663452148","51","51","51"
"5299","0.1403617262840271","0.1403617262840271","0.1403617262840271","52","52","52"
"5399","0.1371549516916275","0.1371549516916275","0.1371549516916275","53","53","53"
"5499","0.13298816978931427","0.13298816978931427","0.13298816978931427","54","54","54"
"5599","0.1345907747745514","0.1345907747745514","0.1345907747745514","55","55","55"
"5699","0.1370607167482376","0.1370607167482376","0.1370607167482376","56","56","56"
"5799","0.13265196979045868","0.13265196979045868","0.13265196979045868","57","57","57"
"5899","0.1376570463180542","0.1376570463180542","0.1376570463180542","58","58","58"
"5999","0.1347355842590332","0.1347355842590332","0.1347355842590332","59","59","59"
"6099","0.13329027593135834","0.13329027593135834","0.13329027593135834","60","60","60"
"6199","0.13544152677059174","0.13544152677059174","0.13544152677059174","61","61","61"
"6299","0.13429534435272217","0.13429534435272217","0.13429534435272217","62","62","62"
"6399","0.131326824426651","0.131326824426651","0.131326824426651","63","63","63"
"6499","0.13113269209861755","0.13113269209861755","0.13113269209861755","64","64","64"
"6599","0.13542164862155914","0.13542164862155914","0.13542164862155914","65","65","65"
"6699","0.13266484439373016","0.13266484439373016","0.13266484439373016","66","66","66"
"6799","0.13173942267894745","0.13173942267894745","0.13173942267894745","67","67","67"
"6899","0.13553206622600555","0.13553206622600555","0.13553206622600555","68","68","68"
"6999","0.13373588025569916","0.13373588025569916","0.13373588025569916","69","69","69"
"7099","0.1368052363395691","0.1368052363395691","0.1368052363395691","70","70","70"
"7199","0.13357290625572205","0.13357290625572205","0.13357290625572205","71","71","71"
"7299","0.1317053586244583","0.1317053586244583","0.1317053586244583","72","72","72"
"7399","0.13540641963481903","0.13540641963481903","0.13540641963481903","73","73","73"
"7499","0.13478000462055206","0.13478000462055206","0.13478000462055206","74","74","74"
"7599","0.1329403668642044","0.1329403668642044","0.1329403668642044","75","75","75"
"7699","0.13565301895141602","0.13565301895141602","0.13565301895141602","76","76","76"
"7799","0.13186416029930115","0.13186416029930115","0.13186416029930115","77","77","77"
