"trainer/global_step","vanillasinh_small - train_loss","vanillasinh_small - train_loss__MIN","vanillasinh_small - train_loss__MAX","vanillasinh_small - _step","vanillasinh_small - _step__MIN","vanillasinh_small - _step__MAX"
"99","0.24208560585975647","0.24208560585975647","0.24208560585975647","0","0","0"
"199","0.21504178643226624","0.21504178643226624","0.21504178643226624","1","1","1"
"299","0.19937628507614136","0.19937628507614136","0.19937628507614136","2","2","2"
"399","0.19094161689281464","0.19094161689281464","0.19094161689281464","3","3","3"
"499","0.18640026450157166","0.18640026450157166","0.18640026450157166","4","4","4"
"599","0.1827908605337143","0.1827908605337143","0.1827908605337143","5","5","5"
"699","0.17978766560554504","0.17978766560554504","0.17978766560554504","6","6","6"
"799","0.17646485567092896","0.17646485567092896","0.17646485567092896","7","7","7"
"899","0.18351522088050842","0.18351522088050842","0.18351522088050842","8","8","8"
"999","0.17749159038066864","0.17749159038066864","0.17749159038066864","9","9","9"
"1099","0.16820305585861206","0.16820305585861206","0.16820305585861206","10","10","10"
"1199","0.16846588253974915","0.16846588253974915","0.16846588253974915","11","11","11"
"1299","0.1623339056968689","0.1623339056968689","0.1623339056968689","12","12","12"
"1399","0.16497297585010529","0.16497297585010529","0.16497297585010529","13","13","13"
"1499","0.1616041213274002","0.1616041213274002","0.1616041213274002","14","14","14"
"1599","0.15669015049934387","0.15669015049934387","0.15669015049934387","15","15","15"
"1699","0.16847878694534302","0.16847878694534302","0.16847878694534302","16","16","16"
"1799","0.1629689335823059","0.1629689335823059","0.1629689335823059","17","17","17"
"1899","0.15598063170909882","0.15598063170909882","0.15598063170909882","18","18","18"
"1999","0.1541905701160431","0.1541905701160431","0.1541905701160431","19","19","19"
"2099","0.1589020937681198","0.1589020937681198","0.1589020937681198","20","20","20"
"2199","0.15357010066509247","0.15357010066509247","0.15357010066509247","21","21","21"
"2299","0.1531943827867508","0.1531943827867508","0.1531943827867508","22","22","22"
"2399","0.15459804236888885","0.15459804236888885","0.15459804236888885","23","23","23"
"2499","0.1464097499847412","0.1464097499847412","0.1464097499847412","24","24","24"
"2599","0.1515691876411438","0.1515691876411438","0.1515691876411438","25","25","25"
"2699","0.14859621226787567","0.14859621226787567","0.14859621226787567","26","26","26"
"2799","0.14770884811878204","0.14770884811878204","0.14770884811878204","27","27","27"
"2899","0.15039114654064178","0.15039114654064178","0.15039114654064178","28","28","28"
"2999","0.14748932421207428","0.14748932421207428","0.14748932421207428","29","29","29"
"3099","0.1518518328666687","0.1518518328666687","0.1518518328666687","30","30","30"
"3199","0.14700311422348022","0.14700311422348022","0.14700311422348022","31","31","31"
"3299","0.1438065469264984","0.1438065469264984","0.1438065469264984","32","32","32"
"3399","0.1433401107788086","0.1433401107788086","0.1433401107788086","33","33","33"
"3499","0.1476811170578003","0.1476811170578003","0.1476811170578003","34","34","34"
"3599","0.14656318724155426","0.14656318724155426","0.14656318724155426","35","35","35"
"3699","0.14272397756576538","0.14272397756576538","0.14272397756576538","36","36","36"
"3799","0.14407657086849213","0.14407657086849213","0.14407657086849213","37","37","37"
"3899","0.1446395218372345","0.1446395218372345","0.1446395218372345","38","38","38"
"3999","0.14230337738990784","0.14230337738990784","0.14230337738990784","39","39","39"
"4099","0.14067329466342926","0.14067329466342926","0.14067329466342926","40","40","40"
"4199","0.14491207897663116","0.14491207897663116","0.14491207897663116","41","41","41"
"4299","0.15055733919143677","0.15055733919143677","0.15055733919143677","42","42","42"
"4399","0.13858109712600708","0.13858109712600708","0.13858109712600708","43","43","43"
"4499","0.14559122920036316","0.14559122920036316","0.14559122920036316","44","44","44"
"4599","0.14369890093803406","0.14369890093803406","0.14369890093803406","45","45","45"
"4699","0.14286695420742035","0.14286695420742035","0.14286695420742035","46","46","46"
"4799","0.13786432147026062","0.13786432147026062","0.13786432147026062","47","47","47"
"4899","0.14409105479717255","0.14409105479717255","0.14409105479717255","48","48","48"
"4999","0.138823464512825","0.138823464512825","0.138823464512825","49","49","49"
"5099","0.13601826131343842","0.13601826131343842","0.13601826131343842","50","50","50"
"5199","0.1362164318561554","0.1362164318561554","0.1362164318561554","51","51","51"
"5299","0.14023874700069427","0.14023874700069427","0.14023874700069427","52","52","52"
"5399","0.137647345662117","0.137647345662117","0.137647345662117","53","53","53"
"5499","0.13443103432655334","0.13443103432655334","0.13443103432655334","54","54","54"
"5599","0.13620968163013458","0.13620968163013458","0.13620968163013458","55","55","55"
"5699","0.13873128592967987","0.13873128592967987","0.13873128592967987","56","56","56"
"5799","0.13282284140586853","0.13282284140586853","0.13282284140586853","57","57","57"
"5899","0.1404990702867508","0.1404990702867508","0.1404990702867508","58","58","58"
"5999","0.13661004602909088","0.13661004602909088","0.13661004602909088","59","59","59"
"6099","0.13355597853660583","0.13355597853660583","0.13355597853660583","60","60","60"
"6199","0.13768155872821808","0.13768155872821808","0.13768155872821808","61","61","61"
"6299","0.1391865760087967","0.1391865760087967","0.1391865760087967","62","62","62"
"6399","0.1329803466796875","0.1329803466796875","0.1329803466796875","63","63","63"
"6499","0.1327367126941681","0.1327367126941681","0.1327367126941681","64","64","64"
"6599","0.13766761124134064","0.13766761124134064","0.13766761124134064","65","65","65"
"6699","0.13419507443904877","0.13419507443904877","0.13419507443904877","66","66","66"
