"trainer/global_step","causal - train_loss","causal - train_loss__MIN","causal - train_loss__MAX","causal - _step","causal - _step__MIN","causal - _step__MAX"
"99","0.25324246287345886","0.25324246287345886","0.25324246287345886","0","0","0"
"199","0.2296937257051468","0.2296937257051468","0.2296937257051468","1","1","1"
"299","0.2176641970872879","0.2176641970872879","0.2176641970872879","2","2","2"
"399","0.21039755642414093","0.21039755642414093","0.21039755642414093","3","3","3"
"499","0.20340736210346222","0.20340736210346222","0.20340736210346222","4","4","4"
"599","0.20062759518623352","0.20062759518623352","0.20062759518623352","5","5","5"
"699","0.20205584168434143","0.20205584168434143","0.20205584168434143","6","6","6"
"799","0.19476008415222168","0.19476008415222168","0.19476008415222168","7","7","7"
"899","0.19171349704265594","0.19171349704265594","0.19171349704265594","8","8","8"
"999","0.19302478432655334","0.19302478432655334","0.19302478432655334","9","9","9"
"1099","0.19185036420822144","0.19185036420822144","0.19185036420822144","10","10","10"
"1199","0.18733257055282593","0.18733257055282593","0.18733257055282593","11","11","11"
"1299","0.184932142496109","0.184932142496109","0.184932142496109","12","12","12"
"1399","0.17823396623134613","0.17823396623134613","0.17823396623134613","13","13","13"
"1499","0.17926575243473053","0.17926575243473053","0.17926575243473053","14","14","14"
"1599","0.1813526600599289","0.1813526600599289","0.1813526600599289","15","15","15"
"1699","0.18237055838108063","0.18237055838108063","0.18237055838108063","16","16","16"
"1799","0.18537455797195435","0.18537455797195435","0.18537455797195435","17","17","17"
"1899","0.17161017656326294","0.17161017656326294","0.17161017656326294","18","18","18"
"1999","0.1730128526687622","0.1730128526687622","0.1730128526687622","19","19","19"
"2099","0.17287319898605347","0.17287319898605347","0.17287319898605347","20","20","20"
"2199","0.1717677116394043","0.1717677116394043","0.1717677116394043","21","21","21"
"2299","0.17475207149982452","0.17475207149982452","0.17475207149982452","22","22","22"
"2399","0.16928647458553314","0.16928647458553314","0.16928647458553314","23","23","23"
"2499","0.16233375668525696","0.16233375668525696","0.16233375668525696","24","24","24"
"2599","0.17050966620445251","0.17050966620445251","0.17050966620445251","25","25","25"
"2699","0.16807915270328522","0.16807915270328522","0.16807915270328522","26","26","26"
"2799","0.16999700665473938","0.16999700665473938","0.16999700665473938","27","27","27"
"2899","0.16657450795173645","0.16657450795173645","0.16657450795173645","28","28","28"
"2999","0.16407650709152222","0.16407650709152222","0.16407650709152222","29","29","29"
"3099","0.1554851084947586","0.1554851084947586","0.1554851084947586","30","30","30"
"3199","0.1681334227323532","0.1681334227323532","0.1681334227323532","31","31","31"
"3299","0.1643594205379486","0.1643594205379486","0.1643594205379486","32","32","32"
"3399","0.16560757160186768","0.16560757160186768","0.16560757160186768","33","33","33"
"3499","0.16253922879695892","0.16253922879695892","0.16253922879695892","34","34","34"
"3599","0.16998137533664703","0.16998137533664703","0.16998137533664703","35","35","35"
"3699","0.16280335187911987","0.16280335187911987","0.16280335187911987","36","36","36"
"3799","0.15818612277507782","0.15818612277507782","0.15818612277507782","37","37","37"
"3899","0.16577985882759094","0.16577985882759094","0.16577985882759094","38","38","38"
"3999","0.15924780070781708","0.15924780070781708","0.15924780070781708","39","39","39"
"4099","0.1631736159324646","0.1631736159324646","0.1631736159324646","40","40","40"
"4199","0.1566978245973587","0.1566978245973587","0.1566978245973587","41","41","41"
"4299","0.1601794809103012","0.1601794809103012","0.1601794809103012","42","42","42"
"4399","0.15858303010463715","0.15858303010463715","0.15858303010463715","43","43","43"
"4499","0.15625762939453125","0.15625762939453125","0.15625762939453125","44","44","44"
"4599","0.1543487012386322","0.1543487012386322","0.1543487012386322","45","45","45"
"4699","0.1609809249639511","0.1609809249639511","0.1609809249639511","46","46","46"
"4799","0.16630220413208008","0.16630220413208008","0.16630220413208008","47","47","47"
"4899","0.15627938508987427","0.15627938508987427","0.15627938508987427","48","48","48"
"4999","0.1550707370042801","0.1550707370042801","0.1550707370042801","49","49","49"
"5099","0.16281259059906006","0.16281259059906006","0.16281259059906006","50","50","50"
"5199","0.1602463275194168","0.1602463275194168","0.1602463275194168","51","51","51"
"5299","0.16128692030906677","0.16128692030906677","0.16128692030906677","52","52","52"
"5399","0.15431778132915497","0.15431778132915497","0.15431778132915497","53","53","53"
"5499","0.1605343520641327","0.1605343520641327","0.1605343520641327","54","54","54"
"5599","0.1534835249185562","0.1534835249185562","0.1534835249185562","55","55","55"
"5699","0.1556253433227539","0.1556253433227539","0.1556253433227539","56","56","56"
"5799","0.158140167593956","0.158140167593956","0.158140167593956","57","57","57"
