"trainer/global_step","causalpatch - train_loss","causalpatch - train_loss__MIN","causalpatch - train_loss__MAX","causalpatch - _step","causalpatch - _step__MIN","causalpatch - _step__MAX"
"99","0.24898813664913177","0.24898813664913177","0.24898813664913177","0","0","0"
"199","0.23120994865894318","0.23120994865894318","0.23120994865894318","1","1","1"
"299","0.2184654176235199","0.2184654176235199","0.2184654176235199","2","2","2"
"399","0.209955632686615","0.209955632686615","0.209955632686615","3","3","3"
"499","0.20642560720443726","0.20642560720443726","0.20642560720443726","4","4","4"
"599","0.20388785004615784","0.20388785004615784","0.20388785004615784","5","5","5"
"699","0.20341278612613678","0.20341278612613678","0.20341278612613678","6","6","6"
"799","0.19904640316963196","0.19904640316963196","0.19904640316963196","7","7","7"
"899","0.19647067785263062","0.19647067785263062","0.19647067785263062","8","8","8"
"999","0.19365984201431274","0.19365984201431274","0.19365984201431274","9","9","9"
"1099","0.1926088184118271","0.1926088184118271","0.1926088184118271","10","10","10"
"1199","0.1912834793329239","0.1912834793329239","0.1912834793329239","11","11","11"
"1299","0.18801240622997284","0.18801240622997284","0.18801240622997284","12","12","12"
"1399","0.18353019654750824","0.18353019654750824","0.18353019654750824","13","13","13"
"1499","0.1829172968864441","0.1829172968864441","0.1829172968864441","14","14","14"
"1599","0.1843189001083374","0.1843189001083374","0.1843189001083374","15","15","15"
"1699","0.18350988626480103","0.18350988626480103","0.18350988626480103","16","16","16"
"1799","0.18782289326190948","0.18782289326190948","0.18782289326190948","17","17","17"
"1899","0.17457890510559082","0.17457890510559082","0.17457890510559082","18","18","18"
"1999","0.17872776091098785","0.17872776091098785","0.17872776091098785","19","19","19"
"2099","0.17967024445533752","0.17967024445533752","0.17967024445533752","20","20","20"
"2199","0.17560073733329773","0.17560073733329773","0.17560073733329773","21","21","21"
"2299","0.1798383891582489","0.1798383891582489","0.1798383891582489","22","22","22"
"2399","0.1734006553888321","0.1734006553888321","0.1734006553888321","23","23","23"
"2499","0.16880500316619873","0.16880500316619873","0.16880500316619873","24","24","24"
"2599","0.17544344067573547","0.17544344067573547","0.17544344067573547","25","25","25"
"2699","0.17219209671020508","0.17219209671020508","0.17219209671020508","26","26","26"
"2799","0.1730916053056717","0.1730916053056717","0.1730916053056717","27","27","27"
"2899","0.17206349968910217","0.17206349968910217","0.17206349968910217","28","28","28"
"2999","0.16833175718784332","0.16833175718784332","0.16833175718784332","29","29","29"
"3099","0.16162574291229248","0.16162574291229248","0.16162574291229248","30","30","30"
"3199","0.1725911796092987","0.1725911796092987","0.1725911796092987","31","31","31"
"3299","0.17021054029464722","0.17021054029464722","0.17021054029464722","32","32","32"
"3399","0.16776248812675476","0.16776248812675476","0.16776248812675476","33","33","33"
"3499","0.16787311434745789","0.16787311434745789","0.16787311434745789","34","34","34"
"3599","0.17157214879989624","0.17157214879989624","0.17157214879989624","35","35","35"
"3699","0.16930750012397766","0.16930750012397766","0.16930750012397766","36","36","36"
"3799","0.16373008489608765","0.16373008489608765","0.16373008489608765","37","37","37"
"3899","0.17245973646640778","0.17245973646640778","0.17245973646640778","38","38","38"
"3999","0.1643403172492981","0.1643403172492981","0.1643403172492981","39","39","39"
"4099","0.16806717216968536","0.16806717216968536","0.16806717216968536","40","40","40"
"4199","0.1591355800628662","0.1591355800628662","0.1591355800628662","41","41","41"
"4299","0.16434183716773987","0.16434183716773987","0.16434183716773987","42","42","42"
"4399","0.16411815583705902","0.16411815583705902","0.16411815583705902","43","43","43"
"4499","0.16249112784862518","0.16249112784862518","0.16249112784862518","44","44","44"
"4599","0.15865683555603027","0.15865683555603027","0.15865683555603027","45","45","45"
"4699","0.1642608493566513","0.1642608493566513","0.1642608493566513","46","46","46"
"4799","0.17075107991695404","0.17075107991695404","0.17075107991695404","47","47","47"
"4899","0.1602509468793869","0.1602509468793869","0.1602509468793869","48","48","48"
"4999","0.1625216156244278","0.1625216156244278","0.1625216156244278","49","49","49"
"5099","0.16513153910636902","0.16513153910636902","0.16513153910636902","50","50","50"
"5199","0.1647370308637619","0.1647370308637619","0.1647370308637619","51","51","51"
"5299","0.16620096564292908","0.16620096564292908","0.16620096564292908","52","52","52"
"5399","0.1636843979358673","0.1636843979358673","0.1636843979358673","53","53","53"
"5499","0.16472820937633514","0.16472820937633514","0.16472820937633514","54","54","54"
"5599","0.16089977324008942","0.16089977324008942","0.16089977324008942","55","55","55"
"5699","0.1624661237001419","0.1624661237001419","0.1624661237001419","56","56","56"
"5799","0.16324739158153534","0.16324739158153534","0.16324739158153534","57","57","57"
"5899","0.1609710156917572","0.1609710156917572","0.1609710156917572","58","58","58"
"5999","0.15916776657104492","0.15916776657104492","0.15916776657104492","59","59","59"
"6099","0.16533087193965912","0.16533087193965912","0.16533087193965912","60","60","60"
"6199","0.16390123963356018","0.16390123963356018","0.16390123963356018","61","61","61"
"6299","0.15727345645427704","0.15727345645427704","0.15727345645427704","62","62","62"
"6399","0.1619609147310257","0.1619609147310257","0.1619609147310257","63","63","63"
"6499","0.15736696124076843","0.15736696124076843","0.15736696124076843","64","64","64"
"6599","0.15302981436252594","0.15302981436252594","0.15302981436252594","65","65","65"
"6699","0.15627485513687134","0.15627485513687134","0.15627485513687134","66","66","66"
"6799","0.16347675025463104","0.16347675025463104","0.16347675025463104","67","67","67"
"6899","0.16049501299858093","0.16049501299858093","0.16049501299858093","68","68","68"
"6999","0.16103096306324005","0.16103096306324005","0.16103096306324005","69","69","69"
"7099","0.15599267184734344","0.15599267184734344","0.15599267184734344","70","70","70"
