"trainer/global_step","causalsinh - train_loss","causalsinh - train_loss__MIN","causalsinh - train_loss__MAX","causalsinh - _step","causalsinh - _step__MIN","causalsinh - _step__MAX"
"99","0.26021140813827515","0.26021140813827515","0.26021140813827515","0","0","0"
"199","0.233798086643219","0.233798086643219","0.233798086643219","1","1","1"
"299","0.22215569019317627","0.22215569019317627","0.22215569019317627","2","2","2"
"399","0.21419422328472137","0.21419422328472137","0.21419422328472137","3","3","3"
"499","0.2077655792236328","0.2077655792236328","0.2077655792236328","4","4","4"
"599","0.20525985956192017","0.20525985956192017","0.20525985956192017","5","5","5"
"699","0.20618999004364014","0.20618999004364014","0.20618999004364014","6","6","6"
"799","0.19960665702819824","0.19960665702819824","0.19960665702819824","7","7","7"
"899","0.19564805924892426","0.19564805924892426","0.19564805924892426","8","8","8"
"999","0.19725430011749268","0.19725430011749268","0.19725430011749268","9","9","9"
"1099","0.1958327293395996","0.1958327293395996","0.1958327293395996","10","10","10"
"1199","0.19135065376758575","0.19135065376758575","0.19135065376758575","11","11","11"
"1299","0.1890541911125183","0.1890541911125183","0.1890541911125183","12","12","12"
"1399","0.18395641446113586","0.18395641446113586","0.18395641446113586","13","13","13"
"1499","0.18323111534118652","0.18323111534118652","0.18323111534118652","14","14","14"
"1599","0.18630516529083252","0.18630516529083252","0.18630516529083252","15","15","15"
"1699","0.1867598444223404","0.1867598444223404","0.1867598444223404","16","16","16"
"1799","0.1884181797504425","0.1884181797504425","0.1884181797504425","17","17","17"
"1899","0.17635779082775116","0.17635779082775116","0.17635779082775116","18","18","18"
"1999","0.17760677635669708","0.17760677635669708","0.17760677635669708","19","19","19"
"2099","0.1771111637353897","0.1771111637353897","0.1771111637353897","20","20","20"
"2199","0.17604510486125946","0.17604510486125946","0.17604510486125946","21","21","21"
"2299","0.17860150337219238","0.17860150337219238","0.17860150337219238","22","22","22"
"2399","0.17268294095993042","0.17268294095993042","0.17268294095993042","23","23","23"
"2499","0.1668834388256073","0.1668834388256073","0.1668834388256073","24","24","24"
"2599","0.1742059886455536","0.1742059886455536","0.1742059886455536","25","25","25"
"2699","0.1724167764186859","0.1724167764186859","0.1724167764186859","26","26","26"
"2799","0.1736084520816803","0.1736084520816803","0.1736084520816803","27","27","27"
"2899","0.17149992287158966","0.17149992287158966","0.17149992287158966","28","28","28"
"2999","0.17002737522125244","0.17002737522125244","0.17002737522125244","29","29","29"
"3099","0.1591913104057312","0.1591913104057312","0.1591913104057312","30","30","30"
"3199","0.17246320843696594","0.17246320843696594","0.17246320843696594","31","31","31"
"3299","0.16807030141353607","0.16807030141353607","0.16807030141353607","32","32","32"
"3399","0.17038480937480927","0.17038480937480927","0.17038480937480927","33","33","33"
"3499","0.16522105038166046","0.16522105038166046","0.16522105038166046","34","34","34"
"3599","0.17300519347190857","0.17300519347190857","0.17300519347190857","35","35","35"
"3699","0.16676834225654602","0.16676834225654602","0.16676834225654602","36","36","36"
"3799","0.1610822230577469","0.1610822230577469","0.1610822230577469","37","37","37"
"3899","0.16789455711841583","0.16789455711841583","0.16789455711841583","38","38","38"
"3999","0.1611994355916977","0.1611994355916977","0.1611994355916977","39","39","39"
"4099","0.1662590205669403","0.1662590205669403","0.1662590205669403","40","40","40"
"4199","0.15813151001930237","0.15813151001930237","0.15813151001930237","41","41","41"
"4299","0.1637500524520874","0.1637500524520874","0.1637500524520874","42","42","42"
"4399","0.16574925184249878","0.16574925184249878","0.16574925184249878","43","43","43"
"4499","0.16284050047397614","0.16284050047397614","0.16284050047397614","44","44","44"
"4599","0.15804533660411835","0.15804533660411835","0.15804533660411835","45","45","45"
"4699","0.16096943616867065","0.16096943616867065","0.16096943616867065","46","46","46"
"4799","0.16934768855571747","0.16934768855571747","0.16934768855571747","47","47","47"
"4899","0.1569419503211975","0.1569419503211975","0.1569419503211975","48","48","48"
"4999","0.15892110764980316","0.15892110764980316","0.15892110764980316","49","49","49"
"5099","0.1647500991821289","0.1647500991821289","0.1647500991821289","50","50","50"
"5199","0.16848808526992798","0.16848808526992798","0.16848808526992798","51","51","51"
"5299","0.1620260328054428","0.1620260328054428","0.1620260328054428","52","52","52"
"5399","0.15860477089881897","0.15860477089881897","0.15860477089881897","53","53","53"
"5499","0.16099384427070618","0.16099384427070618","0.16099384427070618","54","54","54"
"5599","0.15689383447170258","0.15689383447170258","0.15689383447170258","55","55","55"
"5699","0.15976323187351227","0.15976323187351227","0.15976323187351227","56","56","56"
"5799","0.16207148134708405","0.16207148134708405","0.16207148134708405","57","57","57"
"5899","0.15923312306404114","0.15923312306404114","0.15923312306404114","58","58","58"
"5999","0.15613217651844025","0.15613217651844025","0.15613217651844025","59","59","59"
"6099","0.1624334454536438","0.1624334454536438","0.1624334454536438","60","60","60"
"6199","0.16166943311691284","0.16166943311691284","0.16166943311691284","61","61","61"
"6299","0.15511105954647064","0.15511105954647064","0.15511105954647064","62","62","62"
"6399","0.15730059146881104","0.15730059146881104","0.15730059146881104","63","63","63"
"6499","0.15689434111118317","0.15689434111118317","0.15689434111118317","64","64","64"
"6599","0.15225359797477722","0.15225359797477722","0.15225359797477722","65","65","65"
"6699","0.1590730994939804","0.1590730994939804","0.1590730994939804","66","66","66"
"6799","0.16160067915916443","0.16160067915916443","0.16160067915916443","67","67","67"
"6899","0.15638910233974457","0.15638910233974457","0.15638910233974457","68","68","68"
"6999","0.15793058276176453","0.15793058276176453","0.15793058276176453","69","69","69"
"7099","0.1506091207265854","0.1506091207265854","0.1506091207265854","70","70","70"
"7199","0.15784074366092682","0.15784074366092682","0.15784074366092682","71","71","71"
"7299","0.1464037150144577","0.1464037150144577","0.1464037150144577","72","72","72"
"7399","0.1573909968137741","0.1573909968137741","0.1573909968137741","73","73","73"
"7499","0.1522076576948166","0.1522076576948166","0.1522076576948166","74","74","74"
"7599","0.15370167791843414","0.15370167791843414","0.15370167791843414","75","75","75"
"7699","0.15219174325466156","0.15219174325466156","0.15219174325466156","76","76","76"
"7799","0.15089142322540283","0.15089142322540283","0.15089142322540283","77","77","77"
"7899","0.15768058598041534","0.15768058598041534","0.15768058598041534","78","78","78"
"7999","0.14908960461616516","0.14908960461616516","0.14908960461616516","79","79","79"
"8099","0.14831222593784332","0.14831222593784332","0.14831222593784332","80","80","80"
"8199","0.15323396027088165","0.15323396027088165","0.15323396027088165","81","81","81"
"8299","0.1542692631483078","0.1542692631483078","0.1542692631483078","82","82","82"
"8399","0.1533365547657013","0.1533365547657013","0.1533365547657013","83","83","83"
"8499","0.15084034204483032","0.15084034204483032","0.15084034204483032","84","84","84"
"8599","0.15008118748664856","0.15008118748664856","0.15008118748664856","85","85","85"
"8699","0.14961810410022736","0.14961810410022736","0.14961810410022736","86","86","86"
"8799","0.15301010012626648","0.15301010012626648","0.15301010012626648","87","87","87"
"8899","0.15297508239746094","0.15297508239746094","0.15297508239746094","88","88","88"
"8999","0.15265898406505585","0.15265898406505585","0.15265898406505585","89","89","89"
"9099","0.151319220662117","0.151319220662117","0.151319220662117","90","90","90"
"9199","0.14831386506557465","0.14831386506557465","0.14831386506557465","91","91","91"
"9299","0.14644072949886322","0.14644072949886322","0.14644072949886322","92","92","92"
"9399","0.15080778300762177","0.15080778300762177","0.15080778300762177","93","93","93"
"9499","0.15315905213356018","0.15315905213356018","0.15315905213356018","94","94","94"
"9599","0.15033313632011414","0.15033313632011414","0.15033313632011414","95","95","95"
"9699","0.1534189134836197","0.1534189134836197","0.1534189134836197","96","96","96"
"9799","0.1477794647216797","0.1477794647216797","0.1477794647216797","97","97","97"
"9899","0.1458471417427063","0.1458471417427063","0.1458471417427063","98","98","98"
"9999","0.14482371509075165","0.14482371509075165","0.14482371509075165","99","99","99"
"10099","0.1482163369655609","0.1482163369655609","0.1482163369655609","100","100","100"
"10199","0.1502326875925064","0.1502326875925064","0.1502326875925064","101","101","101"
"10299","0.1428644061088562","0.1428644061088562","0.1428644061088562","102","102","102"
"10399","0.14485026895999908","0.14485026895999908","0.14485026895999908","103","103","103"
"10499","0.14632713794708252","0.14632713794708252","0.14632713794708252","104","104","104"
"10599","0.1520289182662964","0.1520289182662964","0.1520289182662964","105","105","105"
"10699","0.15188609063625336","0.15188609063625336","0.15188609063625336","106","106","106"
"10799","0.14351730048656464","0.14351730048656464","0.14351730048656464","107","107","107"
"10899","0.15003734827041626","0.15003734827041626","0.15003734827041626","108","108","108"
"10999","0.13835667073726654","0.13835667073726654","0.13835667073726654","109","109","109"
"11099","0.14480581879615784","0.14480581879615784","0.14480581879615784","110","110","110"
"11199","0.14895997941493988","0.14895997941493988","0.14895997941493988","111","111","111"
"11299","0.1481502503156662","0.1481502503156662","0.1481502503156662","112","112","112"
"11399","0.1416706144809723","0.1416706144809723","0.1416706144809723","113","113","113"
"11499","0.14236874878406525","0.14236874878406525","0.14236874878406525","114","114","114"
