"trainer/global_step","none_pt1 - train_loss","none_pt1 - train_loss__MIN","none_pt1 - train_loss__MAX","none_pt1 - _step","none_pt1 - _step__MIN","none_pt1 - _step__MAX"
"99","6.684844017028809","6.684844017028809","6.684844017028809","0","0","0"
"199","3.7204363346099854","3.7204363346099854","3.7204363346099854","1","1","1"
"299","4.871773719787598","4.871773719787598","4.871773719787598","2","2","2"
"399","4.512012004852295","4.512012004852295","4.512012004852295","3","3","3"
"499","2.6426310539245605","2.6426310539245605","2.6426310539245605","4","4","4"
"599","2.9989209175109863","2.9989209175109863","2.9989209175109863","5","5","5"
"699","3.9579720497131348","3.9579720497131348","3.9579720497131348","6","6","6"
"799","3.9085676670074463","3.9085676670074463","3.9085676670074463","7","7","7"
"899","2.124603509902954","2.124603509902954","2.124603509902954","8","8","8"
"999","2.13429594039917","2.13429594039917","2.13429594039917","9","9","9"
"1099","2.001861095428467","2.001861095428467","2.001861095428467","10","10","10"
"1199","1.5458853244781494","1.5458853244781494","1.5458853244781494","11","11","11"
"1299","1.2990515232086182","1.2990515232086182","1.2990515232086182","12","12","12"
"1399","1.5842827558517456","1.5842827558517456","1.5842827558517456","13","13","13"
"1499","1.0871872901916504","1.0871872901916504","1.0871872901916504","14","14","14"
"1599","1.017349362373352","1.017349362373352","1.017349362373352","15","15","15"
"1699","0.9950751662254333","0.9950751662254333","0.9950751662254333","16","16","16"
"1799","1.2090370655059814","1.2090370655059814","1.2090370655059814","17","17","17"
"1899","0.9244311451911926","0.9244311451911926","0.9244311451911926","18","18","18"
"1999","1.5678455829620361","1.5678455829620361","1.5678455829620361","19","19","19"
"2099","1.6201244592666626","1.6201244592666626","1.6201244592666626","20","20","20"
"2199","0.8813020586967468","0.8813020586967468","0.8813020586967468","21","21","21"
"2299","31.81966209411621","31.81966209411621","31.81966209411621","22","22","22"
"2399","0.8372102975845337","0.8372102975845337","0.8372102975845337","23","23","23"
"2499","0.8906999230384827","0.8906999230384827","0.8906999230384827","24","24","24"
"2599","0.87196284532547","0.87196284532547","0.87196284532547","25","25","25"
"2699","0.7869743704795837","0.7869743704795837","0.7869743704795837","26","26","26"
"2799","1.5495030879974365","1.5495030879974365","1.5495030879974365","27","27","27"
"2899","2.6838932037353516","2.6838932037353516","2.6838932037353516","28","28","28"
"2999","0.9562491774559021","0.9562491774559021","0.9562491774559021","29","29","29"
"3099","1.1981340646743774","1.1981340646743774","1.1981340646743774","30","30","30"
"3199","1.1820002794265747","1.1820002794265747","1.1820002794265747","31","31","31"
"3299","0.9975131154060364","0.9975131154060364","0.9975131154060364","32","32","32"
"3399","0.8510022759437561","0.8510022759437561","0.8510022759437561","33","33","33"
"3499","0.9774920344352722","0.9774920344352722","0.9774920344352722","34","34","34"
"3599","0.9055238962173462","0.9055238962173462","0.9055238962173462","35","35","35"
"3699","1.0408514738082886","1.0408514738082886","1.0408514738082886","36","36","36"
"3799","1.2208985090255737","1.2208985090255737","1.2208985090255737","37","37","37"
"3899","0.8840235471725464","0.8840235471725464","0.8840235471725464","38","38","38"
"3999","0.9151864647865295","0.9151864647865295","0.9151864647865295","39","39","39"
"4099","0.9371504187583923","0.9371504187583923","0.9371504187583923","40","40","40"
"4199","0.8580714464187622","0.8580714464187622","0.8580714464187622","41","41","41"
"4299","1.2082668542861938","1.2082668542861938","1.2082668542861938","42","42","42"
"4399","0.8907111883163452","0.8907111883163452","0.8907111883163452","43","43","43"
"4499","0.9264467358589172","0.9264467358589172","0.9264467358589172","44","44","44"
"4599","0.8808920979499817","0.8808920979499817","0.8808920979499817","45","45","45"
"4699","1.0829793214797974","1.0829793214797974","1.0829793214797974","46","46","46"
"4799","0.8756556510925293","0.8756556510925293","0.8756556510925293","47","47","47"
"4899","0.8425244688987732","0.8425244688987732","0.8425244688987732","48","48","48"
"4999","0.9418650269508362","0.9418650269508362","0.9418650269508362","49","49","49"
"5099","0.767870306968689","0.767870306968689","0.767870306968689","50","50","50"
"5199","0.8323506116867065","0.8323506116867065","0.8323506116867065","51","51","51"
"5299","0.8291704654693604","0.8291704654693604","0.8291704654693604","52","52","52"
"5399","1.0665442943572998","1.0665442943572998","1.0665442943572998","53","53","53"
"5499","1.1057298183441162","1.1057298183441162","1.1057298183441162","54","54","54"
"5599","0.8712338209152222","0.8712338209152222","0.8712338209152222","55","55","55"
"5699","0.9327667951583862","0.9327667951583862","0.9327667951583862","56","56","56"
"5799","0.8274028301239014","0.8274028301239014","0.8274028301239014","57","57","57"
"5899","1.7979990243911743","1.7979990243911743","1.7979990243911743","58","58","58"
"5999","1.7805324792861938","1.7805324792861938","1.7805324792861938","59","59","59"
"6099","1.0363285541534424","1.0363285541534424","1.0363285541534424","60","60","60"
"6199","0.7957533001899719","0.7957533001899719","0.7957533001899719","61","61","61"
"6299","0.8383651375770569","0.8383651375770569","0.8383651375770569","62","62","62"
"6399","1.3851900100708008","1.3851900100708008","1.3851900100708008","63","63","63"
"6499","0.9405316114425659","0.9405316114425659","0.9405316114425659","64","64","64"
"6599","0.7142403721809387","0.7142403721809387","0.7142403721809387","65","65","65"
"6699","0.9108224511146545","0.9108224511146545","0.9108224511146545","66","66","66"
"6799","1.302504301071167","1.302504301071167","1.302504301071167","67","67","67"
"6899","0.8576598763465881","0.8576598763465881","0.8576598763465881","68","68","68"
"6999","1.0815106630325317","1.0815106630325317","1.0815106630325317","69","69","69"
"7099","0.9591307044029236","0.9591307044029236","0.9591307044029236","70","70","70"
"7199","0.8841834664344788","0.8841834664344788","0.8841834664344788","71","71","71"
"7299","0.9820266962051392","0.9820266962051392","0.9820266962051392","72","72","72"
"7399","1.0507118701934814","1.0507118701934814","1.0507118701934814","73","73","73"
"7499","1.4913280010223389","1.4913280010223389","1.4913280010223389","74","74","74"
"7599","1.2372263669967651","1.2372263669967651","1.2372263669967651","75","75","75"
"7699","0.8559059500694275","0.8559059500694275","0.8559059500694275","76","76","76"
"7799","0.8464014530181885","0.8464014530181885","0.8464014530181885","77","77","77"
"7899","0.7473509907722473","0.7473509907722473","0.7473509907722473","78","78","78"
"7999","0.7977345585823059","0.7977345585823059","0.7977345585823059","79","79","79"
"8099","0.9022347927093506","0.9022347927093506","0.9022347927093506","80","80","80"
"8199","0.8957636952400208","0.8957636952400208","0.8957636952400208","81","81","81"
"8299","0.999502420425415","0.999502420425415","0.999502420425415","82","82","82"
"8399","0.7173643708229065","0.7173643708229065","0.7173643708229065","83","83","83"
"8499","0.8955559134483337","0.8955559134483337","0.8955559134483337","84","84","84"
"8599","0.7205355763435364","0.7205355763435364","0.7205355763435364","85","85","85"
"8699","0.8359323143959045","0.8359323143959045","0.8359323143959045","86","86","86"
"8799","0.7998914122581482","0.7998914122581482","0.7998914122581482","87","87","87"
"8899","43.97105407714844","43.97105407714844","43.97105407714844","88","88","88"
"8999","0.8170172572135925","0.8170172572135925","0.8170172572135925","89","89","89"
"9099","0.7769705653190613","0.7769705653190613","0.7769705653190613","90","90","90"
