"trainer/global_step","prefix1trueV2 - train_loss","prefix1trueV2 - train_loss__MIN","prefix1trueV2 - train_loss__MAX","prefix1trueV2 - _step","prefix1trueV2 - _step__MIN","prefix1trueV2 - _step__MAX"
"99","0.29462960362434387","0.29462960362434387","0.29462960362434387","0","0","0"
"199","0.2468985766172409","0.2468985766172409","0.2468985766172409","1","1","1"
"299","0.23499278724193573","0.23499278724193573","0.23499278724193573","2","2","2"
"399","0.22281280159950256","0.22281280159950256","0.22281280159950256","3","3","3"
"499","0.2175566554069519","0.2175566554069519","0.2175566554069519","4","4","4"
"599","0.21350204944610596","0.21350204944610596","0.21350204944610596","5","5","5"
"699","0.21450400352478027","0.21450400352478027","0.21450400352478027","6","6","6"
"799","0.2102150022983551","0.2102150022983551","0.2102150022983551","7","7","7"
"899","0.20384353399276733","0.20384353399276733","0.20384353399276733","8","8","8"
"999","0.2069876343011856","0.2069876343011856","0.2069876343011856","9","9","9"
"1099","0.2056885063648224","0.2056885063648224","0.2056885063648224","10","10","10"
"1199","0.20276398956775665","0.20276398956775665","0.20276398956775665","11","11","11"
"1299","0.19744274020195007","0.19744274020195007","0.19744274020195007","12","12","12"
"1399","0.1928258091211319","0.1928258091211319","0.1928258091211319","13","13","13"
"1499","0.19939562678337097","0.19939562678337097","0.19939562678337097","14","14","14"
"1599","0.19432958960533142","0.19432958960533142","0.19432958960533142","15","15","15"
"1699","0.19612610340118408","0.19612610340118408","0.19612610340118408","16","16","16"
"1799","0.19805260002613068","0.19805260002613068","0.19805260002613068","17","17","17"
"1899","0.18542127311229706","0.18542127311229706","0.18542127311229706","18","18","18"
"1999","0.18784919381141663","0.18784919381141663","0.18784919381141663","19","19","19"
"2099","0.18734845519065857","0.18734845519065857","0.18734845519065857","20","20","20"
"2199","0.1854478418827057","0.1854478418827057","0.1854478418827057","21","21","21"
"2299","0.1889936923980713","0.1889936923980713","0.1889936923980713","22","22","22"
"2399","0.18619760870933533","0.18619760870933533","0.18619760870933533","23","23","23"
"2499","0.17849214375019073","0.17849214375019073","0.17849214375019073","24","24","24"
"2599","0.18856404721736908","0.18856404721736908","0.18856404721736908","25","25","25"
"2699","0.18297268450260162","0.18297268450260162","0.18297268450260162","26","26","26"
"2799","0.1826549470424652","0.1826549470424652","0.1826549470424652","27","27","27"
"2899","0.17910337448120117","0.17910337448120117","0.17910337448120117","28","28","28"
"2999","0.17906077206134796","0.17906077206134796","0.17906077206134796","29","29","29"
"3099","0.16930340230464935","0.16930340230464935","0.16930340230464935","30","30","30"
"3199","0.1817457377910614","0.1817457377910614","0.1817457377910614","31","31","31"
"3299","0.17779652774333954","0.17779652774333954","0.17779652774333954","32","32","32"
"3399","0.18000344932079315","0.18000344932079315","0.18000344932079315","33","33","33"
"3499","0.1733398735523224","0.1733398735523224","0.1733398735523224","34","34","34"
"3599","0.18157531321048737","0.18157531321048737","0.18157531321048737","35","35","35"
"3699","0.17704418301582336","0.17704418301582336","0.17704418301582336","36","36","36"
"3799","0.17009581625461578","0.17009581625461578","0.17009581625461578","37","37","37"
"3899","0.17509037256240845","0.17509037256240845","0.17509037256240845","38","38","38"
"3999","0.17158463597297668","0.17158463597297668","0.17158463597297668","39","39","39"
"4099","0.18190158903598785","0.18190158903598785","0.18190158903598785","40","40","40"
"4199","0.1757264882326126","0.1757264882326126","0.1757264882326126","41","41","41"
"4299","0.17305418848991394","0.17305418848991394","0.17305418848991394","42","42","42"
"4399","0.17107148468494415","0.17107148468494415","0.17107148468494415","43","43","43"
"4499","0.17050080001354218","0.17050080001354218","0.17050080001354218","44","44","44"
"4599","0.17264169454574585","0.17264169454574585","0.17264169454574585","45","45","45"
"4699","0.17018215358257294","0.17018215358257294","0.17018215358257294","46","46","46"
"4799","0.1784484088420868","0.1784484088420868","0.1784484088420868","47","47","47"
"4899","0.1707383245229721","0.1707383245229721","0.1707383245229721","48","48","48"
"4999","0.1724034994840622","0.1724034994840622","0.1724034994840622","49","49","49"
"5099","0.17632681131362915","0.17632681131362915","0.17632681131362915","50","50","50"
"5199","0.17130666971206665","0.17130666971206665","0.17130666971206665","51","51","51"
"5299","0.1736716777086258","0.1736716777086258","0.1736716777086258","52","52","52"
"5399","0.17295432090759277","0.17295432090759277","0.17295432090759277","53","53","53"
"5499","0.1807876080274582","0.1807876080274582","0.1807876080274582","54","54","54"
"5599","0.1696537286043167","0.1696537286043167","0.1696537286043167","55","55","55"
"5699","0.17225754261016846","0.17225754261016846","0.17225754261016846","56","56","56"
"5799","0.1783439815044403","0.1783439815044403","0.1783439815044403","57","57","57"
"5899","0.17512106895446777","0.17512106895446777","0.17512106895446777","58","58","58"
"5999","0.16291023790836334","0.16291023790836334","0.16291023790836334","59","59","59"
"6099","0.1700458824634552","0.1700458824634552","0.1700458824634552","60","60","60"
"6199","0.17725443840026855","0.17725443840026855","0.17725443840026855","61","61","61"
"6299","0.1672019511461258","0.1672019511461258","0.1672019511461258","62","62","62"
"6399","0.17804495990276337","0.17804495990276337","0.17804495990276337","63","63","63"
"6499","0.16689126193523407","0.16689126193523407","0.16689126193523407","64","64","64"
"6599","0.17627541720867157","0.17627541720867157","0.17627541720867157","65","65","65"
"6699","0.1653306931257248","0.1653306931257248","0.1653306931257248","66","66","66"
"6799","0.1765592247247696","0.1765592247247696","0.1765592247247696","67","67","67"
"6899","0.16723604500293732","0.16723604500293732","0.16723604500293732","68","68","68"
"6999","0.16838370263576508","0.16838370263576508","0.16838370263576508","69","69","69"
"7099","0.15981616079807281","0.15981616079807281","0.15981616079807281","70","70","70"
"7199","0.16879040002822876","0.16879040002822876","0.16879040002822876","71","71","71"
"7299","0.1641281098127365","0.1641281098127365","0.1641281098127365","72","72","72"
"7399","0.1683482974767685","0.1683482974767685","0.1683482974767685","73","73","73"
"7499","0.16913554072380066","0.16913554072380066","0.16913554072380066","74","74","74"
"7599","0.1682671457529068","0.1682671457529068","0.1682671457529068","75","75","75"
"7699","0.16020244359970093","0.16020244359970093","0.16020244359970093","76","76","76"
"7799","0.16195142269134521","0.16195142269134521","0.16195142269134521","77","77","77"
"7899","0.1723940521478653","0.1723940521478653","0.1723940521478653","78","78","78"
"7999","0.15906979143619537","0.15906979143619537","0.15906979143619537","79","79","79"
"8099","0.1726391762495041","0.1726391762495041","0.1726391762495041","80","80","80"
"8199","0.17035770416259766","0.17035770416259766","0.17035770416259766","81","81","81"
