"trainer/global_step","prefix4sinh - train_loss","prefix4sinh - train_loss__MIN","prefix4sinh - train_loss__MAX","prefix4sinh - _step","prefix4sinh - _step__MIN","prefix4sinh - _step__MAX"
"99","0.2645200192928314","0.2645200192928314","0.2645200192928314","0","0","0"
"199","0.23410512506961823","0.23410512506961823","0.23410512506961823","1","1","1"
"299","0.22248466312885284","0.22248466312885284","0.22248466312885284","2","2","2"
"399","0.21147005259990692","0.21147005259990692","0.21147005259990692","3","3","3"
"499","0.20626075565814972","0.20626075565814972","0.20626075565814972","4","4","4"
"599","0.20303526520729065","0.20303526520729065","0.20303526520729065","5","5","5"
"699","0.2052999585866928","0.2052999585866928","0.2052999585866928","6","6","6"
"799","0.1984795480966568","0.1984795480966568","0.1984795480966568","7","7","7"
"899","0.19449764490127563","0.19449764490127563","0.19449764490127563","8","8","8"
"999","0.19600722193717957","0.19600722193717957","0.19600722193717957","9","9","9"
"1099","0.19593936204910278","0.19593936204910278","0.19593936204910278","10","10","10"
"1199","0.19192564487457275","0.19192564487457275","0.19192564487457275","11","11","11"
"1299","0.18724575638771057","0.18724575638771057","0.18724575638771057","12","12","12"
"1399","0.18189628422260284","0.18189628422260284","0.18189628422260284","13","13","13"
"1499","0.18108627200126648","0.18108627200126648","0.18108627200126648","14","14","14"
"1599","0.1847468763589859","0.1847468763589859","0.1847468763589859","15","15","15"
"1699","0.185302272439003","0.185302272439003","0.185302272439003","16","16","16"
"1799","0.18747760355472565","0.18747760355472565","0.18747760355472565","17","17","17"
"1899","0.17364972829818726","0.17364972829818726","0.17364972829818726","18","18","18"
"1999","0.17840179800987244","0.17840179800987244","0.17840179800987244","19","19","19"
"2099","0.17611508071422577","0.17611508071422577","0.17611508071422577","20","20","20"
"2199","0.17542493343353271","0.17542493343353271","0.17542493343353271","21","21","21"
"2299","0.17826682329177856","0.17826682329177856","0.17826682329177856","22","22","22"
"2399","0.17260684072971344","0.17260684072971344","0.17260684072971344","23","23","23"
"2499","0.16790463030338287","0.16790463030338287","0.16790463030338287","24","24","24"
"2599","0.17508871853351593","0.17508871853351593","0.17508871853351593","25","25","25"
"2699","0.17047880589962006","0.17047880589962006","0.17047880589962006","26","26","26"
"2799","0.1755400151014328","0.1755400151014328","0.1755400151014328","27","27","27"
"2899","0.1688825786113739","0.1688825786113739","0.1688825786113739","28","28","28"
"2999","0.16692280769348145","0.16692280769348145","0.16692280769348145","29","29","29"
"3099","0.15803030133247375","0.15803030133247375","0.15803030133247375","30","30","30"
"3199","0.17336289584636688","0.17336289584636688","0.17336289584636688","31","31","31"
"3299","0.16604028642177582","0.16604028642177582","0.16604028642177582","32","32","32"
"3399","0.17058216035366058","0.17058216035366058","0.17058216035366058","33","33","33"
"3499","0.1661023050546646","0.1661023050546646","0.1661023050546646","34","34","34"
"3599","0.18052002787590027","0.18052002787590027","0.18052002787590027","35","35","35"
"3699","0.16553397476673126","0.16553397476673126","0.16553397476673126","36","36","36"
"3799","0.15847653150558472","0.15847653150558472","0.15847653150558472","37","37","37"
"3899","0.16585032641887665","0.16585032641887665","0.16585032641887665","38","38","38"
"3999","0.1608685404062271","0.1608685404062271","0.1608685404062271","39","39","39"
"4099","0.16583691537380219","0.16583691537380219","0.16583691537380219","40","40","40"
"4199","0.15661586821079254","0.15661586821079254","0.15661586821079254","41","41","41"
"4299","0.1632155328989029","0.1632155328989029","0.1632155328989029","42","42","42"
"4399","0.16287054121494293","0.16287054121494293","0.16287054121494293","43","43","43"
"4499","0.15902593731880188","0.15902593731880188","0.15902593731880188","44","44","44"
"4599","0.15930934250354767","0.15930934250354767","0.15930934250354767","45","45","45"
"4699","0.17351177334785461","0.17351177334785461","0.17351177334785461","46","46","46"
"4799","0.17249353229999542","0.17249353229999542","0.17249353229999542","47","47","47"
"4899","0.16285103559494019","0.16285103559494019","0.16285103559494019","48","48","48"
"4999","0.15902870893478394","0.15902870893478394","0.15902870893478394","49","49","49"
"5099","0.16576725244522095","0.16576725244522095","0.16576725244522095","50","50","50"
"5199","0.1626337319612503","0.1626337319612503","0.1626337319612503","51","51","51"
"5299","0.16134485602378845","0.16134485602378845","0.16134485602378845","52","52","52"
"5399","0.15714988112449646","0.15714988112449646","0.15714988112449646","53","53","53"
"5499","0.1614270806312561","0.1614270806312561","0.1614270806312561","54","54","54"
"5599","0.16123686730861664","0.16123686730861664","0.16123686730861664","55","55","55"
"5699","0.1614522486925125","0.1614522486925125","0.1614522486925125","56","56","56"
"5799","0.1654190868139267","0.1654190868139267","0.1654190868139267","57","57","57"
"5899","0.16244159638881683","0.16244159638881683","0.16244159638881683","58","58","58"
"5999","0.153251513838768","0.153251513838768","0.153251513838768","59","59","59"
"6099","0.16234412789344788","0.16234412789344788","0.16234412789344788","60","60","60"
"6199","0.1628042459487915","0.1628042459487915","0.1628042459487915","61","61","61"
"6299","0.15428782999515533","0.15428782999515533","0.15428782999515533","62","62","62"
"6399","0.15882831811904907","0.15882831811904907","0.15882831811904907","63","63","63"
"6499","0.16043685376644135","0.16043685376644135","0.16043685376644135","64","64","64"
"6599","0.15236696600914001","0.15236696600914001","0.15236696600914001","65","65","65"
"6699","0.1537710577249527","0.1537710577249527","0.1537710577249527","66","66","66"
"6799","0.16164910793304443","0.16164910793304443","0.16164910793304443","67","67","67"
"6899","0.1587495356798172","0.1587495356798172","0.1587495356798172","68","68","68"
"6999","0.15742509067058563","0.15742509067058563","0.15742509067058563","69","69","69"
"7099","0.1512787789106369","0.1512787789106369","0.1512787789106369","70","70","70"
"7199","0.1582830548286438","0.1582830548286438","0.1582830548286438","71","71","71"
"7299","0.14653463661670685","0.14653463661670685","0.14653463661670685","72","72","72"
"7399","0.1621088683605194","0.1621088683605194","0.1621088683605194","73","73","73"
"7499","0.15338008105754852","0.15338008105754852","0.15338008105754852","74","74","74"
"7599","0.15758445858955383","0.15758445858955383","0.15758445858955383","75","75","75"
