"trainer/global_step","prefix8falseV2 - train_loss","prefix8falseV2 - train_loss__MIN","prefix8falseV2 - train_loss__MAX","prefix8falseV2 - _step","prefix8falseV2 - _step__MIN","prefix8falseV2 - _step__MAX"
"99","0.25563955307006836","0.25563955307006836","0.25563955307006836","0","0","0"
"199","0.22909262776374817","0.22909262776374817","0.22909262776374817","1","1","1"
"299","0.21179568767547607","0.21179568767547607","0.21179568767547607","2","2","2"
"399","0.20126383006572723","0.20126383006572723","0.20126383006572723","3","3","3"
"499","0.19648361206054688","0.19648361206054688","0.19648361206054688","4","4","4"
"599","0.1921657770872116","0.1921657770872116","0.1921657770872116","5","5","5"
"699","0.19326645135879517","0.19326645135879517","0.19326645135879517","6","6","6"
"799","0.18681390583515167","0.18681390583515167","0.18681390583515167","7","7","7"
"899","0.18251946568489075","0.18251946568489075","0.18251946568489075","8","8","8"
"999","0.18267033994197845","0.18267033994197845","0.18267033994197845","9","9","9"
"1099","0.18067368865013123","0.18067368865013123","0.18067368865013123","10","10","10"
"1199","0.17797593772411346","0.17797593772411346","0.17797593772411346","11","11","11"
"1299","0.17341402173042297","0.17341402173042297","0.17341402173042297","12","12","12"
"1399","0.16830717027187347","0.16830717027187347","0.16830717027187347","13","13","13"
"1499","0.1679079830646515","0.1679079830646515","0.1679079830646515","14","14","14"
"1599","0.1703428328037262","0.1703428328037262","0.1703428328037262","15","15","15"
"1699","0.17306582629680634","0.17306582629680634","0.17306582629680634","16","16","16"
"1799","0.17653749883174896","0.17653749883174896","0.17653749883174896","17","17","17"
"1899","0.16292935609817505","0.16292935609817505","0.16292935609817505","18","18","18"
"1999","0.1643562614917755","0.1643562614917755","0.1643562614917755","19","19","19"
"2099","0.1640854775905609","0.1640854775905609","0.1640854775905609","20","20","20"
"2199","0.16261182725429535","0.16261182725429535","0.16261182725429535","21","21","21"
"2299","0.16435012221336365","0.16435012221336365","0.16435012221336365","22","22","22"
"2399","0.160582035779953","0.160582035779953","0.160582035779953","23","23","23"
