"trainer/global_step","prefix8sinh_pt1 - train_loss","prefix8sinh_pt1 - train_loss__MIN","prefix8sinh_pt1 - train_loss__MAX","prefix8sinh_pt1 - _step","prefix8sinh_pt1 - _step__MIN","prefix8sinh_pt1 - _step__MAX"
"99","0.25907790660858154","0.25907790660858154","0.25907790660858154","0","0","0"
"199","0.2293556034564972","0.2293556034564972","0.2293556034564972","1","1","1"
"299","0.2132328599691391","0.2132328599691391","0.2132328599691391","2","2","2"
"399","0.2076415717601776","0.2076415717601776","0.2076415717601776","3","3","3"
"499","0.2003973126411438","0.2003973126411438","0.2003973126411438","4","4","4"
"599","0.1979677826166153","0.1979677826166153","0.1979677826166153","5","5","5"
"699","0.19842803478240967","0.19842803478240967","0.19842803478240967","6","6","6"
"799","0.19342106580734253","0.19342106580734253","0.19342106580734253","7","7","7"
"899","0.18870891630649567","0.18870891630649567","0.18870891630649567","8","8","8"
"999","0.1900189369916916","0.1900189369916916","0.1900189369916916","9","9","9"
"1099","0.18827548623085022","0.18827548623085022","0.18827548623085022","10","10","10"
"1199","0.1847911775112152","0.1847911775112152","0.1847911775112152","11","11","11"
"1299","0.18259063363075256","0.18259063363075256","0.18259063363075256","12","12","12"
"1399","0.17613400518894196","0.17613400518894196","0.17613400518894196","13","13","13"
"1499","0.1760484129190445","0.1760484129190445","0.1760484129190445","14","14","14"
"1599","0.17840196192264557","0.17840196192264557","0.17840196192264557","15","15","15"
"1699","0.17863687872886658","0.17863687872886658","0.17863687872886658","16","16","16"
"1799","0.18090902268886566","0.18090902268886566","0.18090902268886566","17","17","17"
"1899","0.16865043342113495","0.16865043342113495","0.16865043342113495","18","18","18"
"1999","0.17037783563137054","0.17037783563137054","0.17037783563137054","19","19","19"
"2099","0.17090792953968048","0.17090792953968048","0.17090792953968048","20","20","20"
"2199","0.1698043793439865","0.1698043793439865","0.1698043793439865","21","21","21"
"2299","0.17135517299175262","0.17135517299175262","0.17135517299175262","22","22","22"
"2399","0.16812707483768463","0.16812707483768463","0.16812707483768463","23","23","23"
"2499","0.1628202199935913","0.1628202199935913","0.1628202199935913","24","24","24"
"2599","0.16726835072040558","0.16726835072040558","0.16726835072040558","25","25","25"
"2699","0.16592715680599213","0.16592715680599213","0.16592715680599213","26","26","26"
"2799","0.16659975051879883","0.16659975051879883","0.16659975051879883","27","27","27"
"2899","0.16239123046398163","0.16239123046398163","0.16239123046398163","28","28","28"
"2999","0.1636928766965866","0.1636928766965866","0.1636928766965866","29","29","29"
"3099","0.15325193107128143","0.15325193107128143","0.15325193107128143","30","30","30"
"3199","0.16768908500671387","0.16768908500671387","0.16768908500671387","31","31","31"
"3299","0.1658967286348343","0.1658967286348343","0.1658967286348343","32","32","32"
"3399","0.16379372775554657","0.16379372775554657","0.16379372775554657","33","33","33"
"3499","0.16187386214733124","0.16187386214733124","0.16187386214733124","34","34","34"
"3599","0.16758786141872406","0.16758786141872406","0.16758786141872406","35","35","35"
"3699","0.16060645878314972","0.16060645878314972","0.16060645878314972","36","36","36"
"3799","0.15361788868904114","0.15361788868904114","0.15361788868904114","37","37","37"
"3899","0.16243833303451538","0.16243833303451538","0.16243833303451538","38","38","38"
