"trainer/global_step","singlepatch - train_loss","singlepatch - train_loss__MIN","singlepatch - train_loss__MAX","singlepatch - _step","singlepatch - _step__MIN","singlepatch - _step__MAX"
"99","0.26450151205062866","0.26450151205062866","0.26450151205062866","0","0","0"
"199","0.23530438542366028","0.23530438542366028","0.23530438542366028","1","1","1"
"299","0.22070015966892242","0.22070015966892242","0.22070015966892242","2","2","2"
"399","0.21394221484661102","0.21394221484661102","0.21394221484661102","3","3","3"
"499","0.2110818773508072","0.2110818773508072","0.2110818773508072","4","4","4"
"599","0.2030021995306015","0.2030021995306015","0.2030021995306015","5","5","5"
"699","0.20097075402736664","0.20097075402736664","0.20097075402736664","6","6","6"
"799","0.21229735016822815","0.21229735016822815","0.21229735016822815","7","7","7"
"899","0.1997017115354538","0.1997017115354538","0.1997017115354538","8","8","8"
"999","0.20809081196784973","0.20809081196784973","0.20809081196784973","9","9","9"
"1099","0.19280631840229034","0.19280631840229034","0.19280631840229034","10","10","10"
"1199","0.18864557147026062","0.18864557147026062","0.18864557147026062","11","11","11"
"1299","0.19906194508075714","0.19906194508075714","0.19906194508075714","12","12","12"
"1399","0.18798582255840302","0.18798582255840302","0.18798582255840302","13","13","13"
"1499","0.18998055160045624","0.18998055160045624","0.18998055160045624","14","14","14"
"1599","0.19200024008750916","0.19200024008750916","0.19200024008750916","15","15","15"
"1699","0.1958412528038025","0.1958412528038025","0.1958412528038025","16","16","16"
"1799","0.19844108819961548","0.19844108819961548","0.19844108819961548","17","17","17"
"1899","0.17998142540454865","0.17998142540454865","0.17998142540454865","18","18","18"
"1999","0.17772455513477325","0.17772455513477325","0.17772455513477325","19","19","19"
"2099","0.17669855058193207","0.17669855058193207","0.17669855058193207","20","20","20"
"2199","0.18624146282672882","0.18624146282672882","0.18624146282672882","21","21","21"
"2299","0.19038936495780945","0.19038936495780945","0.19038936495780945","22","22","22"
"2399","0.1795291006565094","0.1795291006565094","0.1795291006565094","23","23","23"
"2499","0.17952914535999298","0.17952914535999298","0.17952914535999298","24","24","24"
"2599","0.1809457540512085","0.1809457540512085","0.1809457540512085","25","25","25"
"2699","0.1827193796634674","0.1827193796634674","0.1827193796634674","26","26","26"
"2799","0.17793019115924835","0.17793019115924835","0.17793019115924835","27","27","27"
"2899","0.18415099382400513","0.18415099382400513","0.18415099382400513","28","28","28"
"2999","0.17668399214744568","0.17668399214744568","0.17668399214744568","29","29","29"
"3099","0.15757687389850616","0.15757687389850616","0.15757687389850616","30","30","30"
"3199","0.1765792816877365","0.1765792816877365","0.1765792816877365","31","31","31"
"3299","0.17135153710842133","0.17135153710842133","0.17135153710842133","32","32","32"
"3399","0.17557165026664734","0.17557165026664734","0.17557165026664734","33","33","33"
"3499","0.17478646337985992","0.17478646337985992","0.17478646337985992","34","34","34"
"3599","0.1799134463071823","0.1799134463071823","0.1799134463071823","35","35","35"
"3699","0.1728965789079666","0.1728965789079666","0.1728965789079666","36","36","36"
"3799","0.17377308011054993","0.17377308011054993","0.17377308011054993","37","37","37"
"3899","0.17214414477348328","0.17214414477348328","0.17214414477348328","38","38","38"
"3999","0.1721707135438919","0.1721707135438919","0.1721707135438919","39","39","39"
"4099","0.1781395673751831","0.1781395673751831","0.1781395673751831","40","40","40"
"4199","0.16364586353302002","0.16364586353302002","0.16364586353302002","41","41","41"
"4299","0.1851288229227066","0.1851288229227066","0.1851288229227066","42","42","42"
"4399","0.17853529751300812","0.17853529751300812","0.17853529751300812","43","43","43"
"4499","0.16820034384727478","0.16820034384727478","0.16820034384727478","44","44","44"
"4599","0.1736874282360077","0.1736874282360077","0.1736874282360077","45","45","45"
"4699","0.17452125251293182","0.17452125251293182","0.17452125251293182","46","46","46"
"4799","0.17139501869678497","0.17139501869678497","0.17139501869678497","47","47","47"
"4899","0.17465145885944366","0.17465145885944366","0.17465145885944366","48","48","48"
"4999","0.1694859117269516","0.1694859117269516","0.1694859117269516","49","49","49"
"5099","0.17385612428188324","0.17385612428188324","0.17385612428188324","50","50","50"
"5199","0.17471620440483093","0.17471620440483093","0.17471620440483093","51","51","51"
"5299","0.17799124121665955","0.17799124121665955","0.17799124121665955","52","52","52"
"5399","0.17339947819709778","0.17339947819709778","0.17339947819709778","53","53","53"
"5499","0.16959083080291748","0.16959083080291748","0.16959083080291748","54","54","54"
"5599","0.17225894331932068","0.17225894331932068","0.17225894331932068","55","55","55"
"5699","0.16768208146095276","0.16768208146095276","0.16768208146095276","56","56","56"
"5799","0.17893050611019135","0.17893050611019135","0.17893050611019135","57","57","57"
"5899","0.16987203061580658","0.16987203061580658","0.16987203061580658","58","58","58"
"5999","0.16238684952259064","0.16238684952259064","0.16238684952259064","59","59","59"
"6099","0.18049976229667664","0.18049976229667664","0.18049976229667664","60","60","60"
"6199","0.1701238453388214","0.1701238453388214","0.1701238453388214","61","61","61"
"6299","0.17813536524772644","0.17813536524772644","0.17813536524772644","62","62","62"
"6399","0.17238420248031616","0.17238420248031616","0.17238420248031616","63","63","63"
"6499","0.16673216223716736","0.16673216223716736","0.16673216223716736","64","64","64"
"6599","0.17869210243225098","0.17869210243225098","0.17869210243225098","65","65","65"
"6699","0.17170128226280212","0.17170128226280212","0.17170128226280212","66","66","66"
"6799","0.1808725744485855","0.1808725744485855","0.1808725744485855","67","67","67"
"6899","0.17423366010189056","0.17423366010189056","0.17423366010189056","68","68","68"
"6999","0.17266573011875153","0.17266573011875153","0.17266573011875153","69","69","69"
"7099","0.16708233952522278","0.16708233952522278","0.16708233952522278","70","70","70"
"7199","0.16898232698440552","0.16898232698440552","0.16898232698440552","71","71","71"
"7299","0.1648721694946289","0.1648721694946289","0.1648721694946289","72","72","72"
"7399","0.17883196473121643","0.17883196473121643","0.17883196473121643","73","73","73"
"7499","0.17797787487506866","0.17797787487506866","0.17797787487506866","74","74","74"
"7599","0.17426632344722748","0.17426632344722748","0.17426632344722748","75","75","75"
"7699","0.16329731047153473","0.16329731047153473","0.16329731047153473","76","76","76"
"7799","0.16495467722415924","0.16495467722415924","0.16495467722415924","77","77","77"
"7899","0.17451651394367218","0.17451651394367218","0.17451651394367218","78","78","78"
"7999","0.1698189526796341","0.1698189526796341","0.1698189526796341","79","79","79"
"8099","0.1777602732181549","0.1777602732181549","0.1777602732181549","80","80","80"
"8199","0.16750803589820862","0.16750803589820862","0.16750803589820862","81","81","81"
"8299","0.17104370892047882","0.17104370892047882","0.17104370892047882","82","82","82"
"8399","0.17001160979270935","0.17001160979270935","0.17001160979270935","83","83","83"
"8499","0.16796104609966278","0.16796104609966278","0.16796104609966278","84","84","84"
"8599","0.17069561779499054","0.17069561779499054","0.17069561779499054","85","85","85"
"8699","0.16757537424564362","0.16757537424564362","0.16757537424564362","86","86","86"
"8799","0.17661969363689423","0.17661969363689423","0.17661969363689423","87","87","87"
"8899","0.17745719850063324","0.17745719850063324","0.17745719850063324","88","88","88"
"8999","0.1724097728729248","0.1724097728729248","0.1724097728729248","89","89","89"
"9099","0.1742464303970337","0.1742464303970337","0.1742464303970337","90","90","90"
"9199","0.16617214679718018","0.16617214679718018","0.16617214679718018","91","91","91"
"9299","0.16482527554035187","0.16482527554035187","0.16482527554035187","92","92","92"
"9399","0.1680123656988144","0.1680123656988144","0.1680123656988144","93","93","93"
"9499","0.17815303802490234","0.17815303802490234","0.17815303802490234","94","94","94"
"9599","0.17118631303310394","0.17118631303310394","0.17118631303310394","95","95","95"
"9699","0.1647605448961258","0.1647605448961258","0.1647605448961258","96","96","96"
"9799","0.1746986210346222","0.1746986210346222","0.1746986210346222","97","97","97"
"9899","0.16489437222480774","0.16489437222480774","0.16489437222480774","98","98","98"
"9999","0.17217190563678741","0.17217190563678741","0.17217190563678741","99","99","99"
"10099","0.16853900253772736","0.16853900253772736","0.16853900253772736","100","100","100"
"10199","0.1578943431377411","0.1578943431377411","0.1578943431377411","101","101","101"
"10299","0.17863567173480988","0.17863567173480988","0.17863567173480988","102","102","102"
"10399","0.1703597903251648","0.1703597903251648","0.1703597903251648","103","103","103"
"10499","0.15932920575141907","0.15932920575141907","0.15932920575141907","104","104","104"
"10599","0.16702133417129517","0.16702133417129517","0.16702133417129517","105","105","105"
"10699","0.1681886464357376","0.1681886464357376","0.1681886464357376","106","106","106"
"10799","0.16815468668937683","0.16815468668937683","0.16815468668937683","107","107","107"
"10899","0.17442436516284943","0.17442436516284943","0.17442436516284943","108","108","108"
"10999","0.16421586275100708","0.16421586275100708","0.16421586275100708","109","109","109"
"11099","0.17083165049552917","0.17083165049552917","0.17083165049552917","110","110","110"
"11199","0.1720346063375473","0.1720346063375473","0.1720346063375473","111","111","111"
"11299","0.1598738729953766","0.1598738729953766","0.1598738729953766","112","112","112"
"11399","0.16654886305332184","0.16654886305332184","0.16654886305332184","113","113","113"
"11499","0.16245022416114807","0.16245022416114807","0.16245022416114807","114","114","114"
"11599","0.16230206191539764","0.16230206191539764","0.16230206191539764","115","115","115"
"11699","0.17694826424121857","0.17694826424121857","0.17694826424121857","116","116","116"
"11799","0.17127159237861633","0.17127159237861633","0.17127159237861633","117","117","117"
"11899","0.17237280309200287","0.17237280309200287","0.17237280309200287","118","118","118"
"11999","0.15618935227394104","0.15618935227394104","0.15618935227394104","119","119","119"
"12099","0.16299165785312653","0.16299165785312653","0.16299165785312653","120","120","120"
"12199","0.16490325331687927","0.16490325331687927","0.16490325331687927","121","121","121"
"12299","0.1709337681531906","0.1709337681531906","0.1709337681531906","122","122","122"
"12399","0.1540903002023697","0.1540903002023697","0.1540903002023697","123","123","123"
"12499","0.17478278279304504","0.17478278279304504","0.17478278279304504","124","124","124"
"12599","0.17210626602172852","0.17210626602172852","0.17210626602172852","125","125","125"
"12699","0.18143047392368317","0.18143047392368317","0.18143047392368317","126","126","126"
"12799","0.16322191059589386","0.16322191059589386","0.16322191059589386","127","127","127"
"12899","0.17344124615192413","0.17344124615192413","0.17344124615192413","128","128","128"
"12999","0.1670537292957306","0.1670537292957306","0.1670537292957306","129","129","129"
"13099","0.17391586303710938","0.17391586303710938","0.17391586303710938","130","130","130"
"13199","0.17790333926677704","0.17790333926677704","0.17790333926677704","131","131","131"
"13299","0.16819173097610474","0.16819173097610474","0.16819173097610474","132","132","132"
"13399","0.17391733825206757","0.17391733825206757","0.17391733825206757","133","133","133"
"13499","0.17193184792995453","0.17193184792995453","0.17193184792995453","134","134","134"
"13599","0.16695913672447205","0.16695913672447205","0.16695913672447205","135","135","135"
"13699","0.16032643616199493","0.16032643616199493","0.16032643616199493","136","136","136"
"13799","0.16276492178440094","0.16276492178440094","0.16276492178440094","137","137","137"
"13899","0.16419044137001038","0.16419044137001038","0.16419044137001038","138","138","138"
