"trainer/global_step","singlepatchsinh - train_loss","singlepatchsinh - train_loss__MIN","singlepatchsinh - train_loss__MAX","singlepatchsinh - _step","singlepatchsinh - _step__MIN","singlepatchsinh - _step__MAX"
"99","0.26956817507743835","0.26956817507743835","0.26956817507743835","0","0","0"
"199","0.2394852340221405","0.2394852340221405","0.2394852340221405","1","1","1"
"299","0.22135809063911438","0.22135809063911438","0.22135809063911438","2","2","2"
"399","0.21677714586257935","0.21677714586257935","0.21677714586257935","3","3","3"
"499","0.21434926986694336","0.21434926986694336","0.21434926986694336","4","4","4"
"599","0.20599228143692017","0.20599228143692017","0.20599228143692017","5","5","5"
"699","0.20328405499458313","0.20328405499458313","0.20328405499458313","6","6","6"
"799","0.21674782037734985","0.21674782037734985","0.21674782037734985","7","7","7"
"899","0.20450864732265472","0.20450864732265472","0.20450864732265472","8","8","8"
"999","0.2112085372209549","0.2112085372209549","0.2112085372209549","9","9","9"
"1099","0.19628433883190155","0.19628433883190155","0.19628433883190155","10","10","10"
"1199","0.1929650455713272","0.1929650455713272","0.1929650455713272","11","11","11"
"1299","0.20218487083911896","0.20218487083911896","0.20218487083911896","12","12","12"
"1399","0.1921004056930542","0.1921004056930542","0.1921004056930542","13","13","13"
"1499","0.1927904635667801","0.1927904635667801","0.1927904635667801","14","14","14"
"1599","0.19577132165431976","0.19577132165431976","0.19577132165431976","15","15","15"
"1699","0.19979260861873627","0.19979260861873627","0.19979260861873627","16","16","16"
"1799","0.2032541036605835","0.2032541036605835","0.2032541036605835","17","17","17"
"1899","0.18389971554279327","0.18389971554279327","0.18389971554279327","18","18","18"
"1999","0.1801922470331192","0.1801922470331192","0.1801922470331192","19","19","19"
"2099","0.18161886930465698","0.18161886930465698","0.18161886930465698","20","20","20"
"2199","0.19014215469360352","0.19014215469360352","0.19014215469360352","21","21","21"
"2299","0.1951959878206253","0.1951959878206253","0.1951959878206253","22","22","22"
"2399","0.18373890221118927","0.18373890221118927","0.18373890221118927","23","23","23"
"2499","0.18140675127506256","0.18140675127506256","0.18140675127506256","24","24","24"
"2599","0.18623137474060059","0.18623137474060059","0.18623137474060059","25","25","25"
"2699","0.1869095116853714","0.1869095116853714","0.1869095116853714","26","26","26"
"2799","0.18131756782531738","0.18131756782531738","0.18131756782531738","27","27","27"
"2899","0.18941286206245422","0.18941286206245422","0.18941286206245422","28","28","28"
"2999","0.1797160506248474","0.1797160506248474","0.1797160506248474","29","29","29"
"3099","0.16235078871250153","0.16235078871250153","0.16235078871250153","30","30","30"
"3199","0.17901015281677246","0.17901015281677246","0.17901015281677246","31","31","31"
"3299","0.1783534288406372","0.1783534288406372","0.1783534288406372","32","32","32"
"3399","0.18000075221061707","0.18000075221061707","0.18000075221061707","33","33","33"
"3499","0.17825847864151","0.17825847864151","0.17825847864151","34","34","34"
"3599","0.18170247972011566","0.18170247972011566","0.18170247972011566","35","35","35"
"3699","0.17681589722633362","0.17681589722633362","0.17681589722633362","36","36","36"
"3799","0.17744864523410797","0.17744864523410797","0.17744864523410797","37","37","37"
"3899","0.17658573389053345","0.17658573389053345","0.17658573389053345","38","38","38"
"3999","0.1758110672235489","0.1758110672235489","0.1758110672235489","39","39","39"
"4099","0.179988831281662","0.179988831281662","0.179988831281662","40","40","40"
"4199","0.17181910574436188","0.17181910574436188","0.17181910574436188","41","41","41"
"4299","0.18894656002521515","0.18894656002521515","0.18894656002521515","42","42","42"
"4399","0.18504859507083893","0.18504859507083893","0.18504859507083893","43","43","43"
"4499","0.1746925264596939","0.1746925264596939","0.1746925264596939","44","44","44"
"4599","0.17857635021209717","0.17857635021209717","0.17857635021209717","45","45","45"
"4699","0.1797599047422409","0.1797599047422409","0.1797599047422409","46","46","46"
"4799","0.17689982056617737","0.17689982056617737","0.17689982056617737","47","47","47"
"4899","0.18026457726955414","0.18026457726955414","0.18026457726955414","48","48","48"
"4999","0.17215527594089508","0.17215527594089508","0.17215527594089508","49","49","49"
"5099","0.17491118609905243","0.17491118609905243","0.17491118609905243","50","50","50"
"5199","0.18015660345554352","0.18015660345554352","0.18015660345554352","51","51","51"
"5299","0.18175409734249115","0.18175409734249115","0.18175409734249115","52","52","52"
"5399","0.1771329790353775","0.1771329790353775","0.1771329790353775","53","53","53"
"5499","0.17345254123210907","0.17345254123210907","0.17345254123210907","54","54","54"
"5599","0.17487290501594543","0.17487290501594543","0.17487290501594543","55","55","55"
"5699","0.1717260181903839","0.1717260181903839","0.1717260181903839","56","56","56"
"5799","0.17853567004203796","0.17853567004203796","0.17853567004203796","57","57","57"
"5899","0.17459088563919067","0.17459088563919067","0.17459088563919067","58","58","58"
"5999","0.164424329996109","0.164424329996109","0.164424329996109","59","59","59"
"6099","0.18592125177383423","0.18592125177383423","0.18592125177383423","60","60","60"
"6199","0.17589960992336273","0.17589960992336273","0.17589960992336273","61","61","61"
"6299","0.18406744301319122","0.18406744301319122","0.18406744301319122","62","62","62"
"6399","0.17522507905960083","0.17522507905960083","0.17522507905960083","63","63","63"
"6499","0.16981014609336853","0.16981014609336853","0.16981014609336853","64","64","64"
"6599","0.18188680708408356","0.18188680708408356","0.18188680708408356","65","65","65"
"6699","0.17530584335327148","0.17530584335327148","0.17530584335327148","66","66","66"
"6799","0.1817752867937088","0.1817752867937088","0.1817752867937088","67","67","67"
"6899","0.17766626179218292","0.17766626179218292","0.17766626179218292","68","68","68"
"6999","0.17562566697597504","0.17562566697597504","0.17562566697597504","69","69","69"
"7099","0.17070400714874268","0.17070400714874268","0.17070400714874268","70","70","70"
"7199","0.17491255700588226","0.17491255700588226","0.17491255700588226","71","71","71"
"7299","0.16516929864883423","0.16516929864883423","0.16516929864883423","72","72","72"
"7399","0.18389949202537537","0.18389949202537537","0.18389949202537537","73","73","73"
"7499","0.18259313702583313","0.18259313702583313","0.18259313702583313","74","74","74"
"7599","0.18015070259571075","0.18015070259571075","0.18015070259571075","75","75","75"
"7699","0.1665944904088974","0.1665944904088974","0.1665944904088974","76","76","76"
"7799","0.16956281661987305","0.16956281661987305","0.16956281661987305","77","77","77"
"7899","0.17827212810516357","0.17827212810516357","0.17827212810516357","78","78","78"
"7999","0.17446035146713257","0.17446035146713257","0.17446035146713257","79","79","79"
"8099","0.17919690907001495","0.17919690907001495","0.17919690907001495","80","80","80"
"8199","0.1703573316335678","0.1703573316335678","0.1703573316335678","81","81","81"
"8299","0.1765189915895462","0.1765189915895462","0.1765189915895462","82","82","82"
"8399","0.17322272062301636","0.17322272062301636","0.17322272062301636","83","83","83"
"8499","0.17298395931720734","0.17298395931720734","0.17298395931720734","84","84","84"
