"trainer/global_step","vanilla - train_loss","vanilla - train_loss__MIN","vanilla - train_loss__MAX","vanilla - _step","vanilla - _step__MIN","vanilla - _step__MAX"
"99","0.23952490091323853","0.23952490091323853","0.23952490091323853","0","0","0"
"199","0.21789813041687012","0.21789813041687012","0.21789813041687012","1","1","1"
"299","0.2049672156572342","0.2049672156572342","0.2049672156572342","2","2","2"
"399","0.1976962685585022","0.1976962685585022","0.1976962685585022","3","3","3"
"499","0.19004707038402557","0.19004707038402557","0.19004707038402557","4","4","4"
"599","0.1881416290998459","0.1881416290998459","0.1881416290998459","5","5","5"
"699","0.18991518020629883","0.18991518020629883","0.18991518020629883","6","6","6"
"799","0.18309327960014343","0.18309327960014343","0.18309327960014343","7","7","7"
"899","0.17970016598701477","0.17970016598701477","0.17970016598701477","8","8","8"
"999","0.18029963970184326","0.18029963970184326","0.18029963970184326","9","9","9"
"1099","0.17894503474235535","0.17894503474235535","0.17894503474235535","10","10","10"
"1199","0.17484207451343536","0.17484207451343536","0.17484207451343536","11","11","11"
"1299","0.17202484607696533","0.17202484607696533","0.17202484607696533","12","12","12"
"1399","0.16662073135375977","0.16662073135375977","0.16662073135375977","13","13","13"
"1499","0.16644051671028137","0.16644051671028137","0.16644051671028137","14","14","14"
"1599","0.1686868965625763","0.1686868965625763","0.1686868965625763","15","15","15"
"1699","0.16906672716140747","0.16906672716140747","0.16906672716140747","16","16","16"
"1799","0.1729748696088791","0.1729748696088791","0.1729748696088791","17","17","17"
"1899","0.15935227274894714","0.15935227274894714","0.15935227274894714","18","18","18"
"1999","0.1611536145210266","0.1611536145210266","0.1611536145210266","19","19","19"
"2099","0.16125203669071198","0.16125203669071198","0.16125203669071198","20","20","20"
"2199","0.15982621908187866","0.15982621908187866","0.15982621908187866","21","21","21"
"2299","0.16232122480869293","0.16232122480869293","0.16232122480869293","22","22","22"
"2399","0.15705880522727966","0.15705880522727966","0.15705880522727966","23","23","23"
"2499","0.1518706977367401","0.1518706977367401","0.1518706977367401","24","24","24"
"2599","0.15833322703838348","0.15833322703838348","0.15833322703838348","25","25","25"
"2699","0.15584887564182281","0.15584887564182281","0.15584887564182281","26","26","26"
"2799","0.15722966194152832","0.15722966194152832","0.15722966194152832","27","27","27"
"2899","0.15433244407176971","0.15433244407176971","0.15433244407176971","28","28","28"
"2999","0.15290230512619019","0.15290230512619019","0.15290230512619019","29","29","29"
"3099","0.14539802074432373","0.14539802074432373","0.14539802074432373","30","30","30"
"3199","0.15749938786029816","0.15749938786029816","0.15749938786029816","31","31","31"
"3299","0.15359541773796082","0.15359541773796082","0.15359541773796082","32","32","32"
"3399","0.15483255684375763","0.15483255684375763","0.15483255684375763","33","33","33"
"3499","0.15058863162994385","0.15058863162994385","0.15058863162994385","34","34","34"
"3599","0.15763773024082184","0.15763773024082184","0.15763773024082184","35","35","35"
"3699","0.15136781334877014","0.15136781334877014","0.15136781334877014","36","36","36"
"3799","0.14622901380062103","0.14622901380062103","0.14622901380062103","37","37","37"
"3899","0.15228913724422455","0.15228913724422455","0.15228913724422455","38","38","38"
"3999","0.14674632251262665","0.14674632251262665","0.14674632251262665","39","39","39"
"4099","0.1505795121192932","0.1505795121192932","0.1505795121192932","40","40","40"
"4199","0.1426849365234375","0.1426849365234375","0.1426849365234375","41","41","41"
"4299","0.14807361364364624","0.14807361364364624","0.14807361364364624","42","42","42"
"4399","0.14782780408859253","0.14782780408859253","0.14782780408859253","43","43","43"
"4499","0.14570006728172302","0.14570006728172302","0.14570006728172302","44","44","44"
"4599","0.14364194869995117","0.14364194869995117","0.14364194869995117","45","45","45"
"4699","0.1469360738992691","0.1469360738992691","0.1469360738992691","46","46","46"
"4799","0.1563565582036972","0.1563565582036972","0.1563565582036972","47","47","47"
"4899","0.14265906810760498","0.14265906810760498","0.14265906810760498","48","48","48"
"4999","0.14486537873744965","0.14486537873744965","0.14486537873744965","49","49","49"
"5099","0.1503523290157318","0.1503523290157318","0.1503523290157318","50","50","50"
"5199","0.14891670644283295","0.14891670644283295","0.14891670644283295","51","51","51"
"5299","0.14979082345962524","0.14979082345962524","0.14979082345962524","52","52","52"
"5399","0.1431662142276764","0.1431662142276764","0.1431662142276764","53","53","53"
"5499","0.1454298496246338","0.1454298496246338","0.1454298496246338","54","54","54"
"5599","0.1421709507703781","0.1421709507703781","0.1421709507703781","55","55","55"
"5699","0.14529192447662354","0.14529192447662354","0.14529192447662354","56","56","56"
"5799","0.1467960923910141","0.1467960923910141","0.1467960923910141","57","57","57"
"5899","0.14616449177265167","0.14616449177265167","0.14616449177265167","58","58","58"
"5999","0.1411057859659195","0.1411057859659195","0.1411057859659195","59","59","59"
"6099","0.14781229197978973","0.14781229197978973","0.14781229197978973","60","60","60"
"6199","0.1486223340034485","0.1486223340034485","0.1486223340034485","61","61","61"
"6299","0.14018839597702026","0.14018839597702026","0.14018839597702026","62","62","62"
"6399","0.14350707828998566","0.14350707828998566","0.14350707828998566","63","63","63"
"6499","0.1399458795785904","0.1399458795785904","0.1399458795785904","64","64","64"
"6599","0.13895119726657867","0.13895119726657867","0.13895119726657867","65","65","65"
"6699","0.13712790608406067","0.13712790608406067","0.13712790608406067","66","66","66"
"6799","0.14818637073040009","0.14818637073040009","0.14818637073040009","67","67","67"
"6899","0.1430836170911789","0.1430836170911789","0.1430836170911789","68","68","68"
"6999","0.14370831847190857","0.14370831847190857","0.14370831847190857","69","69","69"
"7099","0.1371159553527832","0.1371159553527832","0.1371159553527832","70","70","70"
"7199","0.1389392763376236","0.1389392763376236","0.1389392763376236","71","71","71"
"7299","0.13362599909305573","0.13362599909305573","0.13362599909305573","72","72","72"
"7399","0.14406169950962067","0.14406169950962067","0.14406169950962067","73","73","73"
"7499","0.14032670855522156","0.14032670855522156","0.14032670855522156","74","74","74"
"7599","0.14088718593120575","0.14088718593120575","0.14088718593120575","75","75","75"
"7699","0.13909851014614105","0.13909851014614105","0.13909851014614105","76","76","76"
"7799","0.13457144796848297","0.13457144796848297","0.13457144796848297","77","77","77"
"7899","0.14461275935173035","0.14461275935173035","0.14461275935173035","78","78","78"
"7999","0.13553017377853394","0.13553017377853394","0.13553017377853394","79","79","79"
"8099","0.13604721426963806","0.13604721426963806","0.13604721426963806","80","80","80"
"8199","0.13926370441913605","0.13926370441913605","0.13926370441913605","81","81","81"
"8299","0.14157803356647491","0.14157803356647491","0.14157803356647491","82","82","82"
"8399","0.14090949296951294","0.14090949296951294","0.14090949296951294","83","83","83"
"8499","0.1379106342792511","0.1379106342792511","0.1379106342792511","84","84","84"
"8599","0.13898681104183197","0.13898681104183197","0.13898681104183197","85","85","85"
"8699","0.13751395046710968","0.13751395046710968","0.13751395046710968","86","86","86"
"8799","0.13812965154647827","0.13812965154647827","0.13812965154647827","87","87","87"
"8899","0.13965454697608948","0.13965454697608948","0.13965454697608948","88","88","88"
"8999","0.14068876206874847","0.14068876206874847","0.14068876206874847","89","89","89"
"9099","0.1382158249616623","0.1382158249616623","0.1382158249616623","90","90","90"
"9199","0.13480354845523834","0.13480354845523834","0.13480354845523834","91","91","91"
"9299","0.133266419172287","0.133266419172287","0.133266419172287","92","92","92"
"9399","0.13877543807029724","0.13877543807029724","0.13877543807029724","93","93","93"
"9499","0.13759487867355347","0.13759487867355347","0.13759487867355347","94","94","94"
"9599","0.1371622383594513","0.1371622383594513","0.1371622383594513","95","95","95"
"9699","0.13995498418807983","0.13995498418807983","0.13995498418807983","96","96","96"
"9799","0.13445508480072021","0.13445508480072021","0.13445508480072021","97","97","97"
"9899","0.1316583752632141","0.1316583752632141","0.1316583752632141","98","98","98"
"9999","0.13287672400474548","0.13287672400474548","0.13287672400474548","99","99","99"
"10099","0.13312216103076935","0.13312216103076935","0.13312216103076935","100","100","100"
"10199","0.13658501207828522","0.13658501207828522","0.13658501207828522","101","101","101"
"10299","0.12979188561439514","0.12979188561439514","0.12979188561439514","102","102","102"
"10399","0.1330787092447281","0.1330787092447281","0.1330787092447281","103","103","103"
"10499","0.1344902515411377","0.1344902515411377","0.1344902515411377","104","104","104"
"10599","0.13764089345932007","0.13764089345932007","0.13764089345932007","105","105","105"
"10699","0.13915422558784485","0.13915422558784485","0.13915422558784485","106","106","106"
"10799","0.13051655888557434","0.13051655888557434","0.13051655888557434","107","107","107"
"10899","0.13647444546222687","0.13647444546222687","0.13647444546222687","108","108","108"
"10999","0.12657204270362854","0.12657204270362854","0.12657204270362854","109","109","109"
"11099","0.1322842538356781","0.1322842538356781","0.1322842538356781","110","110","110"
"11199","0.1363181173801422","0.1363181173801422","0.1363181173801422","111","111","111"
"11299","0.13595008850097656","0.13595008850097656","0.13595008850097656","112","112","112"
"11399","0.1295701414346695","0.1295701414346695","0.1295701414346695","113","113","113"
"11499","0.12997187674045563","0.12997187674045563","0.12997187674045563","114","114","114"
"11599","0.13213980197906494","0.13213980197906494","0.13213980197906494","115","115","115"
"11699","0.1416773647069931","0.1416773647069931","0.1416773647069931","116","116","116"
"11799","0.1376889944076538","0.1376889944076538","0.1376889944076538","117","117","117"
"11899","0.13242167234420776","0.13242167234420776","0.13242167234420776","118","118","118"
"11999","0.1302989274263382","0.1302989274263382","0.1302989274263382","119","119","119"
"12099","0.13149893283843994","0.13149893283843994","0.13149893283843994","120","120","120"
"12199","0.1365288496017456","0.1365288496017456","0.1365288496017456","121","121","121"
"12299","0.129079207777977","0.129079207777977","0.129079207777977","122","122","122"
"12399","0.12772506475448608","0.12772506475448608","0.12772506475448608","123","123","123"
"12499","0.13477514684200287","0.13477514684200287","0.13477514684200287","124","124","124"
"12599","0.1364065706729889","0.1364065706729889","0.1364065706729889","125","125","125"
"12699","0.1388321965932846","0.1388321965932846","0.1388321965932846","126","126","126"
"12799","0.1325952708721161","0.1325952708721161","0.1325952708721161","127","127","127"
"12899","0.1312587559223175","0.1312587559223175","0.1312587559223175","128","128","128"
"12999","0.1368400752544403","0.1368400752544403","0.1368400752544403","129","129","129"
"13099","0.12925049662590027","0.12925049662590027","0.12925049662590027","130","130","130"
"13199","0.12974333763122559","0.12974333763122559","0.12974333763122559","131","131","131"
"13299","0.13001695275306702","0.13001695275306702","0.13001695275306702","132","132","132"
"13399","0.12935912609100342","0.12935912609100342","0.12935912609100342","133","133","133"
"13499","0.13038897514343262","0.13038897514343262","0.13038897514343262","134","134","134"
"13599","0.13151344656944275","0.13151344656944275","0.13151344656944275","135","135","135"
"13699","0.12921008467674255","0.12921008467674255","0.12921008467674255","136","136","136"
"13799","0.1308373361825943","0.1308373361825943","0.1308373361825943","137","137","137"
"13899","0.12458351254463196","0.12458351254463196","0.12458351254463196","138","138","138"
"13999","0.12898299098014832","0.12898299098014832","0.12898299098014832","139","139","139"
"14099","0.1290370523929596","0.1290370523929596","0.1290370523929596","140","140","140"
"14199","0.13449881970882416","0.13449881970882416","0.13449881970882416","141","141","141"
"14299","0.12817338109016418","0.12817338109016418","0.12817338109016418","142","142","142"
"14399","0.13046494126319885","0.13046494126319885","0.13046494126319885","143","143","143"
"14499","0.12914305925369263","0.12914305925369263","0.12914305925369263","144","144","144"
"14599","0.129205122590065","0.129205122590065","0.129205122590065","145","145","145"
"14699","0.13057971000671387","0.13057971000671387","0.13057971000671387","146","146","146"
"14799","0.1330907940864563","0.1330907940864563","0.1330907940864563","147","147","147"
"14899","0.13218697905540466","0.13218697905540466","0.13218697905540466","148","148","148"
"14999","0.1284559816122055","0.1284559816122055","0.1284559816122055","149","149","149"
"15099","0.12604357302188873","0.12604357302188873","0.12604357302188873","150","150","150"
"15199","0.13173112273216248","0.13173112273216248","0.13173112273216248","151","151","151"
"15299","0.1241842582821846","0.1241842582821846","0.1241842582821846","152","152","152"
"15399","0.12597830593585968","0.12597830593585968","0.12597830593585968","153","153","153"
"15499","0.1286790668964386","0.1286790668964386","0.1286790668964386","154","154","154"
"15599","0.1273604929447174","0.1273604929447174","0.1273604929447174","155","155","155"
"15699","0.13725130259990692","0.13725130259990692","0.13725130259990692","156","156","156"
"15799","0.1337316632270813","0.1337316632270813","0.1337316632270813","157","157","157"
"15899","0.13114085793495178","0.13114085793495178","0.13114085793495178","158","158","158"
"15999","0.12558478116989136","0.12558478116989136","0.12558478116989136","159","159","159"
"16099","0.12683694064617157","0.12683694064617157","0.12683694064617157","160","160","160"
"16199","0.12987130880355835","0.12987130880355835","0.12987130880355835","161","161","161"
"16299","0.12593455612659454","0.12593455612659454","0.12593455612659454","162","162","162"
"16399","0.12755262851715088","0.12755262851715088","0.12755262851715088","163","163","163"
"16499","0.1266009658575058","0.1266009658575058","0.1266009658575058","164","164","164"
"16599","0.13368405401706696","0.13368405401706696","0.13368405401706696","165","165","165"
"16699","0.1270095705986023","0.1270095705986023","0.1270095705986023","166","166","166"
"16799","0.12099142372608185","0.12099142372608185","0.12099142372608185","167","167","167"
"16899","0.12888097763061523","0.12888097763061523","0.12888097763061523","168","168","168"
"16999","0.1264772266149521","0.1264772266149521","0.1264772266149521","169","169","169"
"17099","0.12949198484420776","0.12949198484420776","0.12949198484420776","170","170","170"
"17199","0.12738767266273499","0.12738767266273499","0.12738767266273499","171","171","171"
"17299","0.1314437836408615","0.1314437836408615","0.1314437836408615","172","172","172"
"17399","0.12622317671775818","0.12622317671775818","0.12622317671775818","173","173","173"
"17499","0.12131442874670029","0.12131442874670029","0.12131442874670029","174","174","174"
"17599","0.12697863578796387","0.12697863578796387","0.12697863578796387","175","175","175"
"17699","0.12831145524978638","0.12831145524978638","0.12831145524978638","176","176","176"
"17799","0.1292363405227661","0.1292363405227661","0.1292363405227661","177","177","177"
"17899","0.1256634145975113","0.1256634145975113","0.1256634145975113","178","178","178"
"17999","0.1264169067144394","0.1264169067144394","0.1264169067144394","179","179","179"
"18099","0.12563800811767578","0.12563800811767578","0.12563800811767578","180","180","180"
"18199","0.12646177411079407","0.12646177411079407","0.12646177411079407","181","181","181"
"18299","0.13090957701206207","0.13090957701206207","0.13090957701206207","182","182","182"
"18399","0.12323225289583206","0.12323225289583206","0.12323225289583206","183","183","183"
"18499","0.12436137348413467","0.12436137348413467","0.12436137348413467","184","184","184"
"18599","0.12875407934188843","0.12875407934188843","0.12875407934188843","185","185","185"
"18699","0.13026241958141327","0.13026241958141327","0.13026241958141327","186","186","186"
"18799","0.12386194616556168","0.12386194616556168","0.12386194616556168","187","187","187"
"18899","0.13038356602191925","0.13038356602191925","0.13038356602191925","188","188","188"
"18999","0.12610282003879547","0.12610282003879547","0.12610282003879547","189","189","189"
"19099","0.12185955047607422","0.12185955047607422","0.12185955047607422","190","190","190"
"19199","0.12721891701221466","0.12721891701221466","0.12721891701221466","191","191","191"
"19299","0.12388499081134796","0.12388499081134796","0.12388499081134796","192","192","192"
"19399","0.1256878674030304","0.1256878674030304","0.1256878674030304","193","193","193"
"19499","0.12463373690843582","0.12463373690843582","0.12463373690843582","194","194","194"
"19599","0.13036124408245087","0.13036124408245087","0.13036124408245087","195","195","195"
"19699","0.12537091970443726","0.12537091970443726","0.12537091970443726","196","196","196"
"19799","0.1271938532590866","0.1271938532590866","0.1271938532590866","197","197","197"
"19899","0.12999550998210907","0.12999550998210907","0.12999550998210907","198","198","198"
"19999","0.12476179003715515","0.12476179003715515","0.12476179003715515","199","199","199"
"20099","0.1254613995552063","0.1254613995552063","0.1254613995552063","200","200","200"
"20199","0.1281731277704239","0.1281731277704239","0.1281731277704239","201","201","201"
"20299","0.12515030801296234","0.12515030801296234","0.12515030801296234","202","202","202"
"20399","0.12036027759313583","0.12036027759313583","0.12036027759313583","203","203","203"
"20499","0.1276547610759735","0.1276547610759735","0.1276547610759735","204","204","204"
"20599","0.13062596321105957","0.13062596321105957","0.13062596321105957","205","205","205"
"20699","0.1309855431318283","0.1309855431318283","0.1309855431318283","206","206","206"
"20799","0.1273893117904663","0.1273893117904663","0.1273893117904663","207","207","207"
"20899","0.12342607229948044","0.12342607229948044","0.12342607229948044","208","208","208"
"20999","0.12651699781417847","0.12651699781417847","0.12651699781417847","209","209","209"
"21099","0.12967030704021454","0.12967030704021454","0.12967030704021454","210","210","210"
"21199","0.12273554503917694","0.12273554503917694","0.12273554503917694","211","211","211"
"21299","0.12975527346134186","0.12975527346134186","0.12975527346134186","212","212","212"
"21399","0.1272684782743454","0.1272684782743454","0.1272684782743454","213","213","213"
"21499","0.1251417100429535","0.1251417100429535","0.1251417100429535","214","214","214"
"21599","0.12466974556446075","0.12466974556446075","0.12466974556446075","215","215","215"
"21699","0.1271662414073944","0.1271662414073944","0.1271662414073944","216","216","216"
"21799","0.13162444531917572","0.13162444531917572","0.13162444531917572","217","217","217"
"21899","0.12842026352882385","0.12842026352882385","0.12842026352882385","218","218","218"
"21999","0.12793530523777008","0.12793530523777008","0.12793530523777008","219","219","219"
"22099","0.1234719306230545","0.1234719306230545","0.1234719306230545","220","220","220"
"22199","0.1183529645204544","0.1183529645204544","0.1183529645204544","221","221","221"
"22299","0.12674647569656372","0.12674647569656372","0.12674647569656372","222","222","222"
"22399","0.12273549288511276","0.12273549288511276","0.12273549288511276","223","223","223"
"22499","0.12530960142612457","0.12530960142612457","0.12530960142612457","224","224","224"
"22599","0.12912596762180328","0.12912596762180328","0.12912596762180328","225","225","225"
"22699","0.12690705060958862","0.12690705060958862","0.12690705060958862","226","226","226"
"22799","0.12514640390872955","0.12514640390872955","0.12514640390872955","227","227","227"
"22899","0.12381965667009354","0.12381965667009354","0.12381965667009354","228","228","228"
"22999","0.12353020906448364","0.12353020906448364","0.12353020906448364","229","229","229"
"23099","0.12307536602020264","0.12307536602020264","0.12307536602020264","230","230","230"
"23199","0.12373214960098267","0.12373214960098267","0.12373214960098267","231","231","231"
"23299","0.13321955502033234","0.13321955502033234","0.13321955502033234","232","232","232"
"23399","0.13043370842933655","0.13043370842933655","0.13043370842933655","233","233","233"
"23499","0.12568823993206024","0.12568823993206024","0.12568823993206024","234","234","234"
"23599","0.12217219918966293","0.12217219918966293","0.12217219918966293","235","235","235"
"23699","0.12514236569404602","0.12514236569404602","0.12514236569404602","236","236","236"
"23799","0.127256378531456","0.127256378531456","0.127256378531456","237","237","237"
"23899","0.12572982907295227","0.12572982907295227","0.12572982907295227","238","238","238"
"23999","0.13003359735012054","0.13003359735012054","0.13003359735012054","239","239","239"
"24099","0.12604032456874847","0.12604032456874847","0.12604032456874847","240","240","240"
"24199","0.1196160838007927","0.1196160838007927","0.1196160838007927","241","241","241"
"24299","0.12388721853494644","0.12388721853494644","0.12388721853494644","242","242","242"
"24399","0.11971592158079147","0.11971592158079147","0.11971592158079147","243","243","243"
"24499","0.1224384680390358","0.1224384680390358","0.1224384680390358","244","244","244"
"24599","0.11847198754549026","0.11847198754549026","0.11847198754549026","245","245","245"
"24699","0.11933953315019608","0.11933953315019608","0.11933953315019608","246","246","246"
"24799","0.12734009325504303","0.12734009325504303","0.12734009325504303","247","247","247"
"24899","0.1263885200023651","0.1263885200023651","0.1263885200023651","248","248","248"
"24999","0.12684424221515656","0.12684424221515656","0.12684424221515656","249","249","249"
"25099","0.12698853015899658","0.12698853015899658","0.12698853015899658","250","250","250"
"25199","0.12202926725149155","0.12202926725149155","0.12202926725149155","251","251","251"
"25299","0.12491314858198166","0.12491314858198166","0.12491314858198166","252","252","252"
"25399","0.1263134628534317","0.1263134628534317","0.1263134628534317","253","253","253"
"25499","0.1224934309720993","0.1224934309720993","0.1224934309720993","254","254","254"
"25599","0.11863232403993607","0.11863232403993607","0.11863232403993607","255","255","255"
"25699","0.13371585309505463","0.13371585309505463","0.13371585309505463","256","256","256"
"25799","0.11853678524494171","0.11853678524494171","0.11853678524494171","257","257","257"
"25899","0.12430848926305771","0.12430848926305771","0.12430848926305771","258","258","258"
"25999","0.1258024275302887","0.1258024275302887","0.1258024275302887","259","259","259"
"26099","0.1278785765171051","0.1278785765171051","0.1278785765171051","260","260","260"
"26199","0.12465273588895798","0.12465273588895798","0.12465273588895798","261","261","261"
"26299","0.12377618253231049","0.12377618253231049","0.12377618253231049","262","262","262"
"26399","0.12015610188245773","0.12015610188245773","0.12015610188245773","263","263","263"
"26499","0.12317534536123276","0.12317534536123276","0.12317534536123276","264","264","264"
"26599","0.12360849976539612","0.12360849976539612","0.12360849976539612","265","265","265"
"26699","0.1292697787284851","0.1292697787284851","0.1292697787284851","266","266","266"
"26799","0.12488750368356705","0.12488750368356705","0.12488750368356705","267","267","267"
"26899","0.12819474935531616","0.12819474935531616","0.12819474935531616","268","268","268"
"26999","0.12129200249910355","0.12129200249910355","0.12129200249910355","269","269","269"
"27099","0.1267046332359314","0.1267046332359314","0.1267046332359314","270","270","270"
"27199","0.12906032800674438","0.12906032800674438","0.12906032800674438","271","271","271"
"27299","0.12317438423633575","0.12317438423633575","0.12317438423633575","272","272","272"
"27399","0.11833862215280533","0.11833862215280533","0.11833862215280533","273","273","273"
"27499","0.12221086770296097","0.12221086770296097","0.12221086770296097","274","274","274"
"27599","0.1270313262939453","0.1270313262939453","0.1270313262939453","275","275","275"
"27699","0.1227601021528244","0.1227601021528244","0.1227601021528244","276","276","276"
"27799","0.12388268858194351","0.12388268858194351","0.12388268858194351","277","277","277"
"27899","0.12463190406560898","0.12463190406560898","0.12463190406560898","278","278","278"
"27999","0.12191754579544067","0.12191754579544067","0.12191754579544067","279","279","279"
"28099","0.1250418722629547","0.1250418722629547","0.1250418722629547","280","280","280"
"28199","0.12329358607530594","0.12329358607530594","0.12329358607530594","281","281","281"
"28299","0.12478984892368317","0.12478984892368317","0.12478984892368317","282","282","282"
"28399","0.12095986306667328","0.12095986306667328","0.12095986306667328","283","283","283"
